Strain	Length	Experiment	NormLength	Useq	Genome_Classification	Cluster	Phylum	Class	Color
CL10	4.421082645	mono1	4.24324976494262	Sequence_18	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	D	Actinobacteria	Actinobacteria	Actinobacteria
CL10	5.022049587	mono1	4.82004351437948	Sequence_18	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	D	Actinobacteria	Actinobacteria	Actinobacteria
CL10	5.55753719	mono1	5.3339917546661	Sequence_18	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	D	Actinobacteria	Actinobacteria	Actinobacteria
CL10	6.735413223	mono2	6.85519469837362	Sequence_18	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	D	Actinobacteria	Actinobacteria	Actinobacteria
CL10	6.669834711	mono2	6.78844994895654	Sequence_18	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	D	Actinobacteria	Actinobacteria	Actinobacteria
CL10	6.838033058	mono2	6.95963950755589	Sequence_18	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	D	Actinobacteria	Actinobacteria	Actinobacteria
CL10	3.923702479	mono1	3.76587613455969	Sequence_18	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	D	Actinobacteria	Actinobacteria	Actinobacteria
CL10	6.796280992	mono2	6.91714492971589	Sequence_18	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	D	Actinobacteria	Actinobacteria	Actinobacteria
CL10	2.95946281	mono1	2.84042187881085	Sequence_18	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	D	Actinobacteria	Actinobacteria	Actinobacteria
CL10	3.80107438	mono1	3.64818060745943	Sequence_18	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	D	Actinobacteria	Actinobacteria	Actinobacteria
CL10	4.538884298	mono1	4.35631298418993	Sequence_18	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	D	Actinobacteria	Actinobacteria	Actinobacteria
CL10	6.626471074	mono2	6.74431514020427	Sequence_18	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	D	Actinobacteria	Actinobacteria	Actinobacteria
CL10	6.103256198	mono2	6.21179549733849	Sequence_18	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	D	Actinobacteria	Actinobacteria	Actinobacteria
CL10	5.050677686	mono1	4.84752008157053	Sequence_18	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	D	Actinobacteria	Actinobacteria	Actinobacteria
CL10	7.12014876	mono2	7.24677230856568	Sequence_18	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	D	Actinobacteria	Actinobacteria	Actinobacteria
CL10	6.879619835	mono2	7.00196585692364	Sequence_18	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	D	Actinobacteria	Actinobacteria	Actinobacteria
CL10	4.958735537	mono1	4.75927619801097	Sequence_18	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	D	Actinobacteria	Actinobacteria	Actinobacteria
CL10	5.761090909	mono2	5.86354519739988	Sequence_18	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	D	Actinobacteria	Actinobacteria	Actinobacteria
CL10	6.923752066	mono2	7.04688292822455	Sequence_18	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	D	Actinobacteria	Actinobacteria	Actinobacteria
CL11	5.421371901	mono1	5.20330355520526	Sequence_30	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	A	Proteobacteria	Betaproteobacteria	Gammaproteobacteria
CL11	5.421371901	mono1	5.20330355520526	Sequence_30	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	A	Proteobacteria	Betaproteobacteria	Gammaproteobacteria
CL11	5.877917355	mono1	5.64148500213253	Sequence_30	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	A	Proteobacteria	Betaproteobacteria	Gammaproteobacteria
CL11	5.877917355	mono1	5.64148500213253	Sequence_30	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	A	Proteobacteria	Betaproteobacteria	Gammaproteobacteria
CL11	6.727603306	mono2	6.8472458911007	Sequence_30	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	A	Proteobacteria	Betaproteobacteria	Gammaproteobacteria
CL11	6.727603306	mono2	6.8472458911007	Sequence_30	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	A	Proteobacteria	Betaproteobacteria	Gammaproteobacteria
CL11	4.389553719	mono1	4.21298905312587	Sequence_30	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	A	Proteobacteria	Betaproteobacteria	Gammaproteobacteria
CL11	4.389553719	mono1	4.21298905312587	Sequence_30	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	A	Proteobacteria	Betaproteobacteria	Gammaproteobacteria
CL11	6.359495868	mono2	6.47259209127258	Sequence_30	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	A	Proteobacteria	Betaproteobacteria	Gammaproteobacteria
CL11	6.359495868	mono2	6.47259209127258	Sequence_30	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	A	Proteobacteria	Betaproteobacteria	Gammaproteobacteria
CL11	6.124768595	mono1	5.87840693963361	Sequence_30	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	A	Proteobacteria	Betaproteobacteria	Gammaproteobacteria
CL11	6.124768595	mono1	5.87840693963361	Sequence_30	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	A	Proteobacteria	Betaproteobacteria	Gammaproteobacteria
