Useq	Cluster
Sequence_61	A
Sequence_1	A
Sequence_78	A
Sequence_30	A
Sequence_15	A
Sequence_59	A
Sequence_4	A
Sequence_40	A
Sequence_16	A
Sequence_11	A
Sequence_82	A
Sequence_60	A
Sequence_96	A
Sequence_81	A
Sequence_72	A
Sequence_87	A
Sequence_84	A
Sequence_51	A
Sequence_54	B
Sequence_41	B
Sequence_57	B
Sequence_56	B
Sequence_25	B
Sequence_21	B
Sequence_6	B
Sequence_91	B
Sequence_38	B
Sequence_27	B
Sequence_26	B
Sequence_77	B
Sequence_33	B
Sequence_89	B
Sequence_5	B
Sequence_44	B
Sequence_62	B
Sequence_58	B
Sequence_14	B
Sequence_43	B
Sequence_17	B
Sequence_70	B
Sequence_94	B
Sequence_49	B
Sequence_45	B
Sequence_80	B
Sequence_37	B
Sequence_22	B
Sequence_95	B
Sequence_28	B
Sequence_46	B
Sequence_24	B
Sequence_50	D
Sequence_23	D
Sequence_52	D
Sequence_47	D
Sequence_7	D
Sequence_8	D
Sequence_31	D
Sequence_85	D
Sequence_36	D
Sequence_10	D
Sequence_90	D
Sequence_92	D
Sequence_65	D
Sequence_76	D
Sequence_19	D
Sequence_79	D
Sequence_86	D
Sequence_34	D
Sequence_67	D
Sequence_32	D
Sequence_20	D
Sequence_75	D
Sequence_66	D
Sequence_9	D
Sequence_93	D
Sequence_73	D
Sequence_88	D
Sequence_74	D
Sequence_18	D
Sequence_83	D
Sequence_13	D
Sequence_69	C
Sequence_68	C
Sequence_71	C
Sequence_12	C
Sequence_35	C
Sequence_55	C
Sequence_53	C
Sequence_64	C
Sequence_48	C
Sequence_42	C
Sequence_3	C
Sequence_97	C
Sequence_39	C
