	Sequence_1	Sequence_10	Sequence_11	Sequence_12	Sequence_13	Sequence_14	Sequence_15	Sequence_16	Sequence_17	Sequence_18	Sequence_19	Sequence_20	Sequence_21	Sequence_22	Sequence_23	Sequence_24	Sequence_25	Sequence_26	Sequence_27	Sequence_28	Sequence_3	Sequence_30	Sequence_31	Sequence_32	Sequence_33	Sequence_34	Sequence_35	Sequence_36	Sequence_37	Sequence_38	Sequence_39	Sequence_4	Sequence_40	Sequence_41	Sequence_42	Sequence_43	Sequence_44	Sequence_45	Sequence_46	Sequence_47	Sequence_48	Sequence_49	Sequence_5	Sequence_50	Sequence_51	Sequence_52	Sequence_53	Sequence_54	Sequence_55	Sequence_56	Sequence_57	Sequence_58	Sequence_59	Sequence_6	Sequence_60	Sequence_61	Sequence_62	Sequence_64	Sequence_65	Sequence_66	Sequence_67	Sequence_68	Sequence_69	Sequence_7	Sequence_70	Sequence_71	Sequence_72	Sequence_73	Sequence_74	Sequence_75	Sequence_76	Sequence_77	Sequence_78	Sequence_79	Sequence_8	Sequence_80	Sequence_81	Sequence_82	Sequence_83	Sequence_84	Sequence_85	Sequence_86	Sequence_87	Sequence_88	Sequence_89	Sequence_9	Sequence_90	Sequence_91	Sequence_92	Sequence_93	Sequence_94	Sequence_95	Sequence_96	Sequence_97	Unmapped	contaminant1	contaminant23	contaminant38
P1SalinityA1	0	0	0	0	0	0	1	1	0	0	0	3	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	13	1	0	2
P1SalinityA10	568	0	249	46	7	0	61	1059	0	0	47	304	0	0	1	0	0	0	0	0	326	890	0	10	0	6	200	3	0	0	8512	128	646	0	694	1	0	0	0	0	62	0	13	1	453	0	28	0	133	0	0	0	7596	0	238	25	0	207	3	2	3	43	55	5	0	509	4393	0	0	7	40	0	2	29	0	63	1852	522	3	8369	0	14	593	0	0	30	0	0	3	0	0	1	9	198	7677	0	0	0
P1SalinityA11	169	37	37	14	22	0	18	143	4	0	41	231	0	0	2	0	0	0	0	0	63	108	1	28	2	12	39	6	0	0	1834	51	66	0	284	1	0	2	6	0	44	3	0	0	314	0	58	0	76	0	0	0	1055	0	133	5	0	82	17	0	5	74	9	6	1	65	834	0	0	4	28	5	2	56	0	37	244	238	6	1750	0	22	245	1	0	14	0	0	10	3	11	0	0	69	409	15	0	21
P1SalinityA12	39	12	0	0	18	0	3	1	0	0	19	63	0	0	0	0	0	0	0	0	12	14	0	12	0	9	2	2	0	0	364	9	15	0	65	0	1	0	0	0	17	0	0	0	81	2	5	0	2	0	0	0	132	0	29	0	0	20	15	0	4	23	3	3	3	21	34	2	0	0	9	0	0	12	0	4	19	71	0	406	0	8	69	0	1	1	0	0	1	2	1	0	0	12	71	15	0	5
P1SalinityA2	649	473	35	364	207	0	41	95	4	1	405	2036	0	0	9	0	0	0	0	0	1135	94	15	131	0	282	157	51	0	0	3849	184	100	0	1472	5	0	0	0	55	256	0	2	17	1660	60	87	0	74	0	0	0	3000	0	571	11	0	424	258	24	58	1053	123	37	0	429	464	8	4	48	280	0	2	515	0	64	487	1202	26	10774	4	132	1413	10	0	72	27	0	112	3	0	0	10	214	6426	948	0	1718
P1SalinityA3	71	26	6	1	10	0	0	20	1	0	23	122	0	0	1	0	0	0	0	0	29	45	4	6	0	26	4	10	0	0	451	43	11	0	116	4	0	2	0	3	9	4	0	0	63	2	10	0	11	0	0	1	437	0	29	6	0	15	7	0	0	31	1	1	1	11	178	1	0	6	6	0	0	21	0	47	91	71	3	665	0	9	76	0	0	4	2	1	17	0	12	0	0	28	321	21	0	8
P1SalinityA4	23	23	0	0	20	0	0	6	0	0	26	335	0	0	0	0	0	0	0	0	3	6	0	5	0	17	3	4	0	0	640	12	8	0	53	1	0	0	1	1	13	0	3	0	33	1	4	0	1	0	0	0	126	0	267	0	0	11	11	0	3	11	6	0	0	12	43	3	2	5	7	0	0	13	0	6	7	392	0	2626	0	10	880	3	0	2	0	0	3	0	2	0	0	13	237	212	0	2959
P1SalinityA5	52	2557	45	2	391	3	11	7	4	5	167	4799	0	0	17	0	0	0	0	0	525	10	20	426	1	267	71	161	0	0	7314	31	4	0	1938	4	0	7	0	6	26	19	0	4	3252	5	22	0	3	0	0	0	766	0	241	0	0	99	131	63	89	33	4	13	4	22	229	95	5	13	81	0	2	321	2	494	18	434	25	9063	5	131	932	21	0	41	20	0	98	12	27	0	4	53	2456	6	0	10
P1SalinityA6	569	48	91	996	155	0	5	36	2	4	234	969	0	0	25	0	0	0	0	0	746	212	22	57	0	331	433	73	0	0	2288	290	87	0	1828	0	2	0	0	21	1098	1	0	12	110	25	182	0	78	0	1	0	3738	0	364	4	0	746	176	23	18	1093	334	27	0	579	410	8	7	83	175	0	1	403	6	54	383	710	655	9442	4	194	2641	10	21	123	20	0	118	4	0	0	4	75	5234	29	0	560
P1SalinityA7	598	0	38	0	8	0	101	309	0	2	166	588	0	0	0	0	0	0	0	0	808	1024	0	4	0	74	63	1	0	0	2449	458	152	0	423	0	0	51	0	0	116	30	0	0	293	2	14	0	35	0	1	0	1988	0	566	25	0	147	14	17	6	0	2	10	2	44	2202	0	0	22	114	0	1	735	0	3144	678	930	22	10415	0	95	1057	0	3	70	0	0	1	1	16	0	21	129	8490	0	0	0
