Tissue	type	OTU_Header	experiment	Rep	condition	position	ID_Matrix	typebyTissue	TTC
Inoculum	Inoculum	P72P1Salinity	salinity	R1	Inoculum	g11	P1SalinityG11	Inoculum_Inoculum	Inoculum_Inoculum_Inoculum
Inoculum	Inoculum	P45P1Salinity	salinity	R1	Inoculum	g12	P1SalinityG12	Inoculum_Inoculum	Inoculum_Inoculum_Inoculum
Inoculum	Inoculum	P35P1Salinity	salinity	R1	Inoculum	h1	P1SalinityH1	Inoculum_Inoculum	Inoculum_Inoculum_Inoculum
Inoculum	Inoculum	P62P2Salinity	salinity	R2	Inoculum	g10	P2SalinityG10	Inoculum_Inoculum	Inoculum_Inoculum_Inoculum
Inoculum	Inoculum	P72P2Salinity	salinity	R2	Inoculum	g11	P2SalinityG11	Inoculum_Inoculum	Inoculum_Inoculum_Inoculum
Inoculum	Inoculum	P45P2Salinity	salinity	R2	Inoculum	g12	P2SalinityG12	Inoculum_Inoculum	Inoculum_Inoculum_Inoculum
Inoculum	Inoculum	P37Plate1Phosphate	Pi	R1	Inoculum	h7	Plate1PhosphateH7	Inoculum_Inoculum	Inoculum_Inoculum_Inoculum
Inoculum	Inoculum	P2Plate1Phosphate	Pi	R1	Inoculum	h8	Plate1PhosphateH8	Inoculum_Inoculum	Inoculum_Inoculum_Inoculum
Inoculum	Inoculum	P13Plate1Phosphate	Pi	R1	Inoculum	h9	Plate1PhosphateH9	Inoculum_Inoculum	Inoculum_Inoculum_Inoculum
Inoculum	Inoculum	P14Plate2Phosphate	Pi	R2	Inoculum	c12	Plate2PhosphateC12	Inoculum_Inoculum	Inoculum_Inoculum_Inoculum
Inoculum	Inoculum	P73Plate2Phosphate	Pi	R2	Inoculum	d12	Plate2PhosphateD12	Inoculum_Inoculum	Inoculum_Inoculum_Inoculum
Inoculum	Inoculum	P28Plate2Phosphate	Pi	R2	Inoculum	e12	Plate2PhosphateE12	Inoculum_Inoculum	Inoculum_Inoculum_Inoculum
Inoculum	Inoculum	P6Plate3PhTemp	pH	R1	Inoculum	f1	Plate3PhTempF1	Inoculum_Inoculum	Inoculum_Inoculum_Inoculum
Inoculum	Inoculum	P94Plate3PhTemp	pH	R2	Inoculum	f2	Plate3PhTempF2	Inoculum_Inoculum	Inoculum_Inoculum_Inoculum
Inoculum	Inoculum	P64Plate3PhTemp	T	R1	Inoculum	f3	Plate3PhTempF3	Inoculum_Inoculum	Inoculum_Inoculum_Inoculum
Inoculum	Inoculum	P80Plate3PhTemp	T	R2	Inoculum	f4	Plate3PhTempF4	Inoculum_Inoculum	Inoculum_Inoculum_Inoculum
Agar	NP	P89Plate1Phosphate	Pi	R2	0P	a8	Plate1PhosphateA8	Agar_NP	Agar_NP_0P
Agar	NP	P77Plate1Phosphate	Pi	R2	0P	h2	Plate1PhosphateH2	Agar_NP	Agar_NP_0P
Agar	NP	P42Plate2Phosphate	Pi	R1	0P	a5	Plate2PhosphateA5	Agar_NP	Agar_NP_0P
Agar	NP	P89Plate2Phosphate	Pi	R1	0P	a8	Plate2PhosphateA8	Agar_NP	Agar_NP_0P
Agar	NP	P74Plate2Phosphate	Pi	R2	0P	c10	Plate2PhosphateC10	Agar_NP	Agar_NP_0P
Agar	NP	P27Plate2Phosphate	Pi	R2	0P	c7	Plate2PhosphateC7	Agar_NP	Agar_NP_0P
Agar	NP	P71Plate2Phosphate	Pi	R1	0P	e11	Plate2PhosphateE11	Agar_NP	Agar_NP_0P
Agar	NP	P25Plate3Phosphate	Pi	R1	0P	d2	Plate3PhosphateD2	Agar_NP	Agar_NP_0P
Agar	NP	P33Plate3Phosphate	Pi	R2	0P	g2	Plate3PhosphateG2	Agar_NP	Agar_NP_0P
Agar	SC	P17Plate1Phosphate	Pi	R1	0P	b4	Plate1PhosphateB4	Agar_SC	Agar_SC_0P
Agar	SC	P4Plate2Phosphate	Pi	R2	0P	a1	Plate2PhosphateA1	Agar_SC	Agar_SC_0P
Agar	SC	P43Plate2Phosphate	Pi	R1	0P	c11	Plate2PhosphateC11	Agar_SC	Agar_SC_0P
Agar	SC	P30Plate2Phosphate	Pi	R1	0P	c4	Plate2PhosphateC4	Agar_SC	Agar_SC_0P
Agar	SC	P85Plate2Phosphate	Pi	R2	0P	d3	Plate2PhosphateD3	Agar_SC	Agar_SC_0P
Agar	SC	P69Plate3Phosphate	Pi	R2	0P	e2	Plate3PhosphateE2	Agar_SC	Agar_SC_0P
Root	SC	P56Plate1Phosphate	Pi	R1	0P	e4	Plate1PhosphateE4	Root_SC	Root_SC_0P
Root	SC	P93Plate1Phosphate	Pi	R1	0P	e5	Plate1PhosphateE5	Root_SC	Root_SC_0P
Root	SC	P95Plate1Phosphate	Pi	R1	0P	g8	Plate1PhosphateG8	Root_SC	Root_SC_0P
Root	SC	P41Plate2Phosphate	Pi	R2	0P	c6	Plate2PhosphateC6	Root_SC	Root_SC_0P
Root	SC	P53Plate2Phosphate	Pi	R2	0P	g5	Plate2PhosphateG5	Root_SC	Root_SC_0P
Shoot	SC	P5Plate1Phosphate	Pi	R2	0P	b6	Plate1PhosphateB6	Shoot_SC	Shoot_SC_0P
Shoot	SC	P71Plate1Phosphate	Pi	R1	0P	e11	Plate1PhosphateE11	Shoot_SC	Shoot_SC_0P
Shoot	SC	P64Plate1Phosphate	Pi	R1	0P	f3	Plate1PhosphateF3	Shoot_SC	Shoot_SC_0P
Shoot	SC	P87Plate2Phosphate	Pi	R2	0P	a3	Plate2PhosphateA3	Shoot_SC	Shoot_SC_0P
Shoot	SC	P61Plate2Phosphate	Pi	R2	0P	d1	Plate2PhosphateD1	Shoot_SC	Shoot_SC_0P
Shoot	SC	P4Plate3Phosphate	Pi	R1	0P	a1	Plate3PhosphateA1	Shoot_SC	Shoot_SC_0P
Agar	NP	P28Plate1Phosphate	Pi	R2	10P	e12	Plate1PhosphateE12	Agar_NP	Agar_NP_10P
Agar	NP	P68Plate1Phosphate	Pi	R2	10P	e9	Plate1PhosphateE9	Agar_NP	Agar_NP_10P
Agar	NP	P83Plate2Phosphate	Pi	R1	10P	a10	Plate2PhosphateA10	Agar_NP	Agar_NP_10P
Agar	NP	P5Plate2Phosphate	Pi	R2	10P	b6	Plate2PhosphateB6	Agar_NP	Agar_NP_10P
Agar	NP	P25Plate2Phosphate	Pi	R1	10P	d2	Plate2PhosphateD2	Agar_NP	Agar_NP_10P
Agar	NP	P77Plate2Phosphate	Pi	R1	10P	h2	Plate2PhosphateH2	Agar_NP	Agar_NP_10P
Agar	NP	P30Plate3Phosphate	Pi	R2	10P	c4	Plate3PhosphateC4	Agar_NP	Agar_NP_10P
Agar	SC	P60Plate1Phosphate	Pi	R1	10P	a4	Plate1PhosphateA4	Agar_SC	Agar_SC_10P
Agar	SC	P76Plate2Phosphate	Pi	R1	10P	b11	Plate2PhosphateB11	Agar_SC	Agar_SC_10P
Agar	SC	P87Plate3Phosphate	Pi	R2	10P	a3	Plate3PhosphateA3	Agar_SC	Agar_SC_10P
Agar	SC	P32Plate3Phosphate	Pi	R2	10P	c3	Plate3PhosphateC3	Agar_SC	Agar_SC_10P
Agar	SC	P64Plate3Phosphate	Pi	R1	10P	f3	Plate3PhosphateF3	Agar_SC	Agar_SC_10P
Agar	SC	P26Plate3Phosphate	Pi	R2	10P	h3	Plate3PhosphateH3	Agar_SC	Agar_SC_10P
Root	SC	P4Plate1Phosphate	Pi	R1	10P	a1	Plate1PhosphateA1	Root_SC	Root_SC_10P
Root	SC	P42Plate1Phosphate	Pi	R1	10P	a5	Plate1PhosphateA5	Root_SC	Root_SC_10P
Root	SC	P25Plate1Phosphate	Pi	R1	10P	d2	Plate1PhosphateD2	Root_SC	Root_SC_10P
Root	SC	P33Plate1Phosphate	Pi	R2	10P	g2	Plate1PhosphateG2	Root_SC	Root_SC_10P
Root	SC	P58Plate2Phosphate	Pi	R2	10P	d8	Plate2PhosphateD8	Root_SC	Root_SC_10P
Root	SC	P19Plate2Phosphate	Pi	R2	10P	f10	Plate2PhosphateF10	Root_SC	Root_SC_10P
Shoot	SC	P12Plate1Phosphate	Pi	R2	10P	d4	Plate1PhosphateD4	Shoot_SC	Shoot_SC_10P
Shoot	SC	P6Plate1Phosphate	Pi	R2	10P	f1	Plate1PhosphateF1	Shoot_SC	Shoot_SC_10P
Shoot	SC	P19Plate1Phosphate	Pi	R1	10P	f10	Plate1PhosphateF10	Shoot_SC	Shoot_SC_10P
Shoot	SC	P32Plate2Phosphate	Pi	R1	10P	c3	Plate2PhosphateC3	Shoot_SC	Shoot_SC_10P
Shoot	SC	P22Plate2Phosphate	Pi	R2	10P	d7	Plate2PhosphateD7	Shoot_SC	Shoot_SC_10P
Shoot	SC	P88Plate2Phosphate	Pi	R1	10P	h4	Plate2PhosphateH4	Shoot_SC	Shoot_SC_10P
Agar	NP	P65Plate1Phosphate	Pi	R2	30P	a9	Plate1PhosphateA9	Agar_NP	Agar_NP_30P
Agar	NP	P94Plate1Phosphate	Pi	R1	30P	f2	Plate1PhosphateF2	Agar_NP	Agar_NP_30P
Agar	NP	P80Plate1Phosphate	Pi	R2	30P	f4	Plate1PhosphateF4	Agar_NP	Agar_NP_30P
Agar	NP	P1Plate1Phosphate	Pi	R1	30P	g3	Plate1PhosphateG3	Agar_NP	Agar_NP_30P
Agar	NP	P93Plate2Phosphate	Pi	R1	30P	e5	Plate2PhosphateE5	Agar_NP	Agar_NP_30P
Agar	NP	P56Plate3Phosphate	Pi	R2	30P	e4	Plate3PhosphateE4	Agar_NP	Agar_NP_30P
Agar	NP	P1Plate3Phosphate	Pi	R2	30P	g3	Plate3PhosphateG3	Agar_NP	Agar_NP_30P
Agar	SC	P16Plate1Phosphate	Pi	R2	30P	a2	Plate1PhosphateA2	Agar_SC	Agar_SC_30P
Agar	SC	P3Plate1Phosphate	Pi	R2	30P	e1	Plate1PhosphateE1	Agar_SC	Agar_SC_30P
Agar	SC	P15Plate1Phosphate	Pi	R2	30P	f12	Plate1PhosphateF12	Agar_SC	Agar_SC_30P
Agar	SC	P11Plate1Phosphate	Pi	R1	30P	g4	Plate1PhosphateG4	Agar_SC	Agar_SC_30P
Agar	SC	P46Plate2Phosphate	Pi	R1	30P	f7	Plate2PhosphateF7	Agar_SC	Agar_SC_30P
