	Sequence_10	Sequence_11	Sequence_12	Sequence_13	Sequence_14	Sequence_15	Sequence_16	Sequence_17	Sequence_18	Sequence_19	Sequence_20	Sequence_21	Sequence_23	Sequence_24	Sequence_25	Sequence_26	Sequence_27	Sequence_28	Sequence_3	Sequence_30	Sequence_31	Sequence_32	Sequence_33	Sequence_34	Sequence_35	Sequence_36	Sequence_37	Sequence_38	Sequence_39	Sequence_4	Sequence_40	Sequence_41	Sequence_42	Sequence_43	Sequence_44	Sequence_45	Sequence_46	Sequence_47	Sequence_48	Sequence_49	Sequence_5	Sequence_50	Sequence_51	Sequence_52	Sequence_53	Sequence_54	Sequence_55	Sequence_56	Sequence_57	Sequence_58	Sequence_59	Sequence_6	Sequence_60	Sequence_62	Sequence_64	Sequence_65	Sequence_66	Sequence_67	Sequence_68	Sequence_69	Sequence_7	Sequence_70	Sequence_71	Sequence_72	Sequence_73	Sequence_74	Sequence_75	Sequence_76	Sequence_77	Sequence_79	Sequence_8	Sequence_80	Sequence_82	Sequence_83	Sequence_84	Sequence_85	Sequence_86	Sequence_87	Sequence_88	Sequence_89	Sequence_9	Sequence_90	Sequence_91	Sequence_92	Sequence_93	Sequence_94	Sequence_95	Sequence_96	Sequence_97	Unmapped	contaminant1	contaminant38
Plate1VarioDropA11	85	1	2768	255	0	6	128	0	0	2022	1722	0	4	2	0	0	0	0	595	74	0	395	0	142	48	28	0	0	4469	483	166	0	377	0	1	5	0	24	1	24	0	7	165	16	181	0	139	0	0	0	2323	0	770	0	389	205	2	95	2186	342	9	0	999	93	1	1	51	1467	0	1108	5	366	1490	121	10068	8	336	2432	3	8	141	28	0	316	1	10	0	3	351	3163	5	1
Plate1VarioDropA2	0	5	1	8	0	7	275	0	0	882	682	0	1	0	0	0	0	0	305	219	0	3	0	101	42	2	0	0	5490	74	127	0	469	0	0	0	0	3	0	4	0	0	95	1	99	0	67	0	0	1	3415	0	674	2	93	11	5	8	5	11	5	0	377	434	0	1	28	447	0	1829	0	577	1804	9	6732	0	60	918	0	0	85	0	0	26	0	1	0	18	184	9914	0	0
Plate1VarioDropA3	0	8	92	2	0	0	803	0	0	28	760	0	0	0	0	0	0	0	807	37	0	12	0	2	14	0	0	0	4595	196	584	0	224	0	0	0	0	2	0	0	0	0	240	0	54	0	31	0	0	0	9883	0	2190	0	28	2	2	10	30	10	4	0	362	909	0	0	13	14	0	89	0	26	4829	20	4902	0	8	4012	0	0	28	0	0	2	0	0	0	65	125	8870	0	0
Plate1VarioDropA6	0	2	2	6	0	1	732	0	0	552	280	0	0	0	0	0	0	0	141	202	0	3	0	108	15	0	0	0	6459	46	207	0	424	0	0	0	0	0	0	1	0	0	154	0	53	0	32	0	0	1	2339	0	418	0	73	12	1	8	0	21	1	0	270	448	1	0	26	280	0	1385	0	242	1305	0	11311	0	57	1569	0	0	96	0	0	8	0	0	0	21	177	8772	0	0
Plate1VarioDropB5	5	0	778	26	0	0	10	0	0	169	121	0	0	0	0	0	0	0	15	40	0	27	0	17	14	3	11	0	903	180	17	0	53	0	0	0	0	1	0	0	0	0	8	1	63	0	75	0	0	0	100	0	31	0	251	33	1	10	255	79	1	0	379	8	0	0	4	141	0	85	0	35	50	39	439	0	52	341	0	1	35	3	0	34	0	1	0	0	31	172	0	0
Plate1VarioDropB9	1	16	166	6	0	1	736	0	0	28	561	0	0	0	0	0	0	0	317	22	0	17	0	10	20	1	0	0	6745	757	571	0	301	0	0	5	0	0	0	62	0	0	321	0	63	0	72	0	0	0	8010	0	2549	0	82	6	1	15	55	19	5	0	609	1076	0	0	26	12	0	110	1	388	5366	10	1567	0	25	4672	0	0	54	0	0	7	0	29	0	109	566	9135	0	0
Plate1VarioDropC3	5	0	4	20	1	0	15	2	0	148	346	0	1	0	1	0	0	0	74	18	0	25	0	3	2	5	0	0	326	27	3	0	53	0	0	0	0	2	0	2	0	0	296	1	2	0	2	0	0	1	195	0	108	0	8	12	0	6	12	2	0	0	28	25	0	0	6	111	0	159	0	56	157	6	755	0	6	253	0	12	17	2	0	16	0	0	0	0	15	139	0	0
Plate1VarioDropC5	0	2	0	10	0	1	332	0	0	587	425	0	0	0	0	0	0	0	107	253	0	1	0	80	22	3	0	0	10581	70	144	0	765	0	0	0	0	0	0	4	0	0	104	0	79	0	90	0	0	0	3703	0	174	0	151	7	2	10	3	32	3	0	535	234	0	0	28	354	0	1525	0	262	438	3	10933	0	59	445	0	0	67	1	0	11	0	2	0	5	277	7908	0	0
Plate1VarioDropC6	706	0	1302	20	0	0	5	1	3	473	1229	0	0	0	0	0	0	0	1089	1	0	40	0	148	19	12	19	0	6326	962	205	0	617	0	0	2	0	8	1	3	0	0	110	3	73	0	68	0	0	2	2236	0	264	2	58	84	23	22	288	0	4	0	712	55	13	0	60	354	0	187	1	11	574	29	13267	0	91	2459	0	3	49	8	0	64	2	1	0	1	357	2668	120	8
Plate1VarioDropD1	301	45	95	329	99	45	216	940	0	236	3585	157	51	2	51	12	315	10	582	433	0	989	421	110	82	68	0	36	5003	640	987	0	758	464	184	194	0	45	1	549	137	21	1090	15	316	0	8	60	6	71	1619	14	115	0	300	46	59	247	12	8	18	517	1016	31	0	2	119	134	40	138	0	800	364	48	13484	3	545	4240	0	143	533	8	65	213	1	394	47	3	856	8248	128	84
