"UId"	"Plate"	"row"	"column"	"sample"	"rep"	"syncom"	"condition"	"fraction"	"syncom_old"	"Well"	"OTU_Header"	"ID_Matrix"
"1"	"Plate1_a_1"	"Plate1"	"a"	1	"i(full)"	"Rep1"	"I_FULL"	"inoculum"	"Inoculum"	"i_full"	"A1"	"P0Plate1VarioDrop"	"Plate1VarioDropA1"
"2"	"Plate1_a_10"	"Plate1"	"a"	10	"l19"	"Rep1"	"MINUS_S"	"control"	"Shoot"	"minus_s"	"A10"	"P18Plate1VarioDrop"	"Plate1VarioDropA10"
"3"	"Plate1_a_11"	"Plate1"	"a"	11	"r36"	"Rep1"	"MINUS_V"	"control"	"Root"	"minus_v"	"A11"	"P85Plate1VarioDrop"	"Plate1VarioDropA11"
"4"	"Plate1_a_12"	"Plate1"	"a"	12	"32"	"Rep1"	"MINUS_S"	"(pH8.2)"	"Agar_Plant"	"minus_s"	"A12"	"P82Plate1VarioDrop"	"Plate1VarioDropA12"
"5"	"Plate1_a_2"	"Plate1"	"a"	2	"41"	"Rep1"	"MINUS_V"	"(+Na)"	"Agar_Plant"	"minus_v"	"A2"	"P27Plate1VarioDrop"	"Plate1VarioDropA2"
"6"	"Plate1_a_3"	"Plate1"	"a"	3	"r42"	"Rep1"	"MINUS_V"	"(+Na)"	"Root"	"minus_v"	"A3"	"P32Plate1VarioDrop"	"Plate1VarioDropA3"
"7"	"Plate1_a_4"	"Plate1"	"a"	4	"l8"	"Rep1"	"FULL"	"(+Na)"	"Shoot"	"full"	"A4"	"P3Plate1VarioDrop"	"Plate1VarioDropA4"
"8"	"Plate1_a_5"	"Plate1"	"a"	5	"1"	"Rep1"	"FULL"	"control"	"Agar_Plant"	"full"	"A5"	"P29Plate1VarioDrop"	"Plate1VarioDropA5"
"9"	"Plate1_a_6"	"Plate1"	"a"	6	"42"	"Rep1"	"MINUS_V"	"(+Na)"	"Agar_Plant"	"minus_v"	"A6"	"P73Plate1VarioDrop"	"Plate1VarioDropA6"
"10"	"Plate1_a_7"	"Plate1"	"a"	7	"l17"	"Rep1"	"FULL"	"(MS)"	"Shoot"	"full"	"A7"	"P74Plate1VarioDrop"	"Plate1VarioDropA7"
"11"	"Plate1_a_8"	"Plate1"	"a"	8	"31"	"Rep1"	"MINUS_S"	"(pH8.2)"	"Agar_Plant"	"minus_s"	"A8"	"P89Plate1VarioDrop"	"Plate1VarioDropA8"
