Strain	W_Before	W_After	Countperg	LCountperg	Partner	Fraction	Experiment
CL28	1096	1116.9	837000	5.92272545799326	Variovorax B4	Root	duo
CL28	1096	1116.9	359000	5.55509444857832	Variovorax B4	Root	duo
CL28	1096	1116.9	478000	5.67942789661212	Variovorax B4	Root	duo
CL28	1096	1116.9	443000	5.64640372622307	Variovorax B4	Root	duo
CL28	1062.8	1075.3	160000	5.20411998265593	Variovorax B4	Root	duo
CL28	1062.8	1075.3	240000	5.38021124171161	Variovorax B4	Root	duo
CL28	1062.8	1075.3	3e+05	5.47712125471966	Variovorax B4	Root	duo
CL28	1062.8	1075.3	320000	5.50514997831991	Variovorax B4	Root	duo
CL28	1132.6	1144.1	152000	5.18184358794477	Variovorax B4	Root	duo
CL28	1062.8	1144.1	18500	4.26717172840301	Variovorax B4	Root	duo
CL28	1062.8	1144.1	24600	4.39093510710338	Variovorax B4	Root	duo
CL28	1062.8	1144.1	27700	4.44247976906445	Variovorax B4	Root	duo
CL28	1103.1	1121.2	193000	5.28555730900777	Variovorax CL14	Root	duo
CL28	1103.1	1121.2	207000	5.31597034545692	Variovorax CL14	Root	duo
CL28	1103.1	1121.2	193000	5.28555730900777	Variovorax CL14	Root	duo
CL28	1103.1	1121.2	193000	5.28555730900777	Variovorax CL14	Root	duo
CL28	1108.4	1128.3	490000	5.69019608002851	Variovorax CL14	Root	duo
CL28	1108.4	1128.3	628000	5.7979596437372	Variovorax CL14	Root	duo
CL28	1108.4	1128.3	879000	5.94398887507377	Variovorax CL14	Root	duo
CL28	1108.4	1128.3	565000	5.75204844781944	Variovorax CL14	Root	duo
CL28	1103.9	1116.5	99200	4.99651167215418	Variovorax CL14	Root	duo
CL28	1103.9	1116.5	59500	4.77451696572855	Variovorax CL14	Root	duo
CL28	1103.9	1116.5	119000	5.07554696139253	Variovorax CL14	Root	duo
CL28	1103.9	1116.5	198000	5.29666519026153	Variovorax CL14	Root	duo
CL28	1094.2	1145.6	29200	4.46538285144842	No bacteria	Root	mono
CL28	1094.2	1145.6	82700	4.91750550955255	No bacteria	Root	mono
CL28	1094.2	1145.6	34000	4.53147891704226	No bacteria	Root	mono
CL28	1094.2	1145.6	68100	4.83314711191279	No bacteria	Root	mono
CL28	1104.8	1145	49800	4.69722934275972	No bacteria	Root	mono
CL28	1104.8	1145	24900	4.39619934709574	No bacteria	Root	mono
CL28	1104.8	1145	31100	4.49276038902684	No bacteria	Root	mono
CL28	1104.8	1145	14300	4.15533603746506	No bacteria	Root	mono
CL28	1081.7	1112.2	32800	4.51587384371168	No bacteria	Root	mono
CL28	1081.7	1112.2	49200	4.69196510276736	No bacteria	Root	mono
CL28	1081.7	1112.2	32000	4.50514997831991	No bacteria	Root	mono
CL28	1081.7	1112.2	65600	4.81690383937566	No bacteria	Root	mono
