Strain	Treatment	Length	Experiment
B4	2_4-D_100nM	0.351413223	Hormones
B4	2_4-D_100nM	0.529958678	Hormones
B4	2_4-D_100nM	0.627231405	Hormones
B4	2_4-D_100nM	1.05785124	Hormones
B4	2_4-D_100nM	1.154661157	Hormones
B4	2_4-D_100nM	1.260107438	Hormones
B4	2_4-D_100nM	1.267024793	Hormones
B4	2_4-D_100nM	1.505495868	Hormones
B4	2_4-D_100nM	1.562487603	Hormones
B4	2_4-D_100nM	1.588495868	Hormones
B4	2_4-D_100nM	1.620842975	Hormones
B4	2_4-D_100nM	1.701760331	Hormones
B4	2_4-D_100nM	1.724719008	Hormones
B4	2_4-D_100nM	1.790016529	Hormones
B4	2_4-D_100nM	1.830165289	Hormones
B4	2_4-D_100nM	1.858603306	Hormones
B4	2_4-D_100nM	1.893553719	Hormones
B4	2_4-D_100nM	1.92446281	Hormones
B4	2_4-D_100nM	1.950694215	Hormones
B4	2_4-D_100nM	2.182066116	Hormones
CL11	2_4-D_100nM	0.547206612	Hormones
CL11	2_4-D_100nM	0.755280992	Hormones
CL11	2_4-D_100nM	0.761049587	Hormones
CL11	2_4-D_100nM	0.794768595	Hormones
CL11	2_4-D_100nM	0.893173554	Hormones
CL11	2_4-D_100nM	0.898057851	Hormones
CL11	2_4-D_100nM	0.898057851	Hormones
CL11	2_4-D_100nM	0.92207438	Hormones
CL11	2_4-D_100nM	0.935016529	Hormones
CL11	2_4-D_100nM	1.062487603	Hormones
CL11	2_4-D_100nM	1.066082645	Hormones
CL11	2_4-D_100nM	1.115181818	Hormones
CL11	2_4-D_100nM	1.141330579	Hormones
CL11	2_4-D_100nM	1.190545455	Hormones
CL11	2_4-D_100nM	1.197404959	Hormones
CL11	2_4-D_100nM	1.260107438	Hormones
CL11	2_4-D_100nM	1.296016529	Hormones
CL11	2_4-D_100nM	1.365413223	Hormones
CL11	2_4-D_100nM	1.443991736	Hormones
CL14	2_4-D_100nM	0.363636364	Hormones
CL14	2_4-D_100nM	0.47331405	Hormones
CL14	2_4-D_100nM	0.529958678	Hormones
CL14	2_4-D_100nM	0.565859504	Hormones
CL14	2_4-D_100nM	0.598702479	Hormones
CL14	2_4-D_100nM	0.628099174	Hormones
CL14	2_4-D_100nM	0.842809917	Hormones
CL14	2_4-D_100nM	1.289677686	Hormones
CL14	2_4-D_100nM	1.719008264	Hormones
CL14	2_4-D_100nM	1.730413223	Hormones
CL14	2_4-D_100nM	1.752380165	Hormones
CL14	2_4-D_100nM	1.796413223	Hormones
CL14	2_4-D_100nM	1.880520661	Hormones
CL14	2_4-D_100nM	1.957404959	Hormones
CL14	2_4-D_100nM	2.004570248	Hormones
CL14	2_4-D_100nM	2.116735537	Hormones
CL14	2_4-D_100nM	2.124983471	Hormones
CL14	2_4-D_100nM	2.256669421	Hormones
CL14	2_4-D_100nM	2.347338843	Hormones
CL14	2_4-D_100nM	2.448289256	Hormones
CL14	2_4-D_100nM	2.756520661	Hormones
CL14	2_4-D_100nM	2.777057851	Hormones
MF160	2_4-D_100nM	0.168561983	Hormones
MF160	2_4-D_100nM	0.297520661	Hormones
MF160	2_4-D_100nM	0.30477686	Hormones
MF160	2_4-D_100nM	0.325578512	Hormones
MF160	2_4-D_100nM	0.398066116	Hormones
MF160	2_4-D_100nM	0.398066116	Hormones
MF160	2_4-D_100nM	0.429752066	Hormones
MF160	2_4-D_100nM	0.449636364	Hormones
MF160	2_4-D_100nM	0.628099174	Hormones
MF160	2_4-D_100nM	0.739198347	Hormones
MF160	2_4-D_100nM	0.826446281	Hormones
MF160	2_4-D_100nM	0.890107438	Hormones
MF160	2_4-D_100nM	0.909545455	Hormones
MF160	2_4-D_100nM	0.99668595	Hormones
MF160	2_4-D_100nM	1.059917355	Hormones
MF160	2_4-D_100nM	1.128330579	Hormones
MF160	2_4-D_100nM	1.39353719	Hormones
MF160	2_4-D_100nM	1.699826446	Hormones
MF160	2_4-D_100nM	1.819082645	Hormones
NB	2_4-D_100nM	0.363636364	Hormones
NB	2_4-D_100nM	0.865206612	Hormones
NB	2_4-D_100nM	0.865206612	Hormones
NB	2_4-D_100nM	0.909545455	Hormones
NB	2_4-D_100nM	0.927975207	Hormones
NB	2_4-D_100nM	1.066082645	Hormones
NB	2_4-D_100nM	1.263140496	Hormones
NB	2_4-D_100nM	1.871495868	Hormones
NB	2_4-D_100nM	2.282669421	Hormones
NB	2_4-D_100nM	2.526280992	Hormones
NB	2_4-D_100nM	2.639041322	Hormones
NB	2_4-D_100nM	2.645454545	Hormones
NB	2_4-D_100nM	2.702264463	Hormones
NB	2_4-D_100nM	2.813024793	Hormones
NB	2_4-D_100nM	2.879264463	Hormones
NB	2_4-D_100nM	2.888165289	Hormones
NB	2_4-D_100nM	2.918280992	Hormones
NB	2_4-D_100nM	2.951049587	Hormones
NB	2_4-D_100nM	2.978140496	Hormones
NB	2_4-D_100nM	3.045809917	Hormones
NB	2_4-D_100nM	3.245735537	Hormones
NB	2_4-D_100nM	4.001231405	Hormones
YR216	2_4-D_100nM	0.467512397	Hormones
YR216	2_4-D_100nM	0.503520661	Hormones
YR216	2_4-D_100nM	0.862041322	Hormones
YR216	2_4-D_100nM	0.954107438	Hormones
YR216	2_4-D_100nM	0.967752066	Hormones
YR216	2_4-D_100nM	0.986206612	Hormones
YR216	2_4-D_100nM	1.299809917	Hormones
YR216	2_4-D_100nM	1.355371901	Hormones
YR216	2_4-D_100nM	1.734512397	Hormones
YR216	2_4-D_100nM	1.804	Hormones
YR216	2_4-D_100nM	1.820884298	Hormones
YR216	2_4-D_100nM	1.990347107	Hormones
YR216	2_4-D_100nM	2.049049587	Hormones
YR216	2_4-D_100nM	2.056239669	Hormones
YR216	2_4-D_100nM	2.066578512	Hormones
YR216	2_4-D_100nM	2.118024793	Hormones
