GFP_Intensity	Genotype	Strain	Time	Rep
191	15.798	DR5	CL28	01d	Rep1
192	10.322	DR5	CL28	01d	Rep1
193	11.419	DR5	CL28	01d	Rep1
194	11.617	DR5	CL28	01d	Rep1
195	9.756	DR5	CL28	01d	Rep1
196	12.523	DR5	CL28	01d	Rep1
197	9.822	DR5	CL28	01d	Rep1
198	9.179	DR5	CL28	01d	Rep1
199	10.448	DR5	CL28	01d	Rep1
200	10.524	DR5	CL28	01d	Rep1
201	11.101	DR5	CL28	01d	Rep1
202	10.58	DR5	CL28	01d	Rep1
203	9.74	DR5	CL28	01d	Rep1
204	8.954	DR5	CL28	01d	Rep1
205	9.983	DR5	CL28	01d	Rep1
206	9.097	DR5	CL28	01d	Rep1
207	10.108	DR5	CL28	01d	Rep1
208	8.511	DR5	CL28	01d	Rep1
209	9.853	DR5	CL28	01d	Rep1
210	10.909	DR5	CL28	01d	Rep1
211	8.64	DR5	CL28	01d	Rep1
212	8.872	DR5	CL28	01d	Rep1
213	8.367	DR5	CL28	01d	Rep1
214	9.06	DR5	CL28	01d	Rep1
215	7.36	DR5	CL28	01d	Rep1
216	7.834	DR5	CL28	01d	Rep1
217	8.384	DR5	CL28	01d	Rep1
218	8.837	DR5	CL28	01d	Rep1
219	8.601	DR5	CL28	01d	Rep1
220	8.763	DR5	CL28	01d	Rep1
221	7.68	DR5	CL28	01d	Rep1
222	7.544	DR5	CL28	01d	Rep1
223	7.102	DR5	CL28	01d	Rep1
224	6.428	DR5	CL28	01d	Rep1
225	7.212	DR5	CL28	01d	Rep1
226	6.168	DR5	CL28	01d	Rep1
227	8.039	DR5	CL28	01d	Rep1
228	8.397	DR5	CL28	01d	Rep1
229	6.249	DR5	CL28	01d	Rep1
230	7.622	DR5	CL28	01d	Rep1
231	7.758	DR5	CL28	01d	Rep1
232	11.102	DR5	CL28	01d	Rep1
233	7.898	DR5	CL28	01d	Rep1
234	8.706	DR5	CL28	01d	Rep1
235	7.424	DR5	CL28	01d	Rep1
236	9.941	DR5	CL28	01d	Rep1
237	7.276	DR5	CL28	01d	Rep1
238	9.197	DR5	CL28	01d	Rep1
239	8.541	DR5	CL28	01d	Rep1
240	7.538	DR5	CL28	01d	Rep1
241	9.858	DR5	CL28	01d	Rep1
242	10.379	DR5	CL28	01d	Rep1
243	9.157	DR5	CL28	01d	Rep1
244	9.419	DR5	CL28	01d	Rep1
245	9.383	DR5	CL28	01d	Rep1
246	8.684	DR5	CL28	01d	Rep1
247	6.972	DR5	CL28	01d	Rep1
248	8.491	DR5	CL28	01d	Rep1
249	8.808	DR5	CL28	01d	Rep1
250	8.771	DR5	CL28	01d	Rep1
251	9.487	DR5	CL28	01d	Rep1
252	9.691	DR5	CL28	01d	Rep1
253	10.85	DR5	CL28	01d	Rep1
254	8.863	DR5	CL28	01d	Rep1
255	10.213	DR5	CL28	01d	Rep1
256	7.668	DR5	CL28	01d	Rep1
257	7.423	DR5	CL28	01d	Rep1
258	8.608	DR5	CL28	01d	Rep1
259	10.158	DR5	CL28	01d	Rep1
260	8.834	DR5	CL28	01d	Rep1
261	10.482	DR5	CL28	01d	Rep1
262	9.591	DR5	CL28	01d	Rep1
