Genotype	Treatment	Strain	Genotype_MCP	Length	Rep
axr	air	ACC	axr	3.93	Rep1
axr	air	ACC	axr	5.85	Rep1
axr	air	ACC	axr	6.07	Rep1
axr	air	ACC	axr	6.2	Rep1
axr	air	ACC	axr	6.49	Rep1
axr	air	ACC	axr	6.58	Rep1
axr	air	ACC	axr	7.02	Rep1
axr	air	ACC	axr	7.12	Rep1
axr	air	ACC	axr	7.26	Rep1
axr	air	ACC	axr	7.43	Rep1
axr	air	ACC	axr	8.07	Rep1
axr	air	ACC	axr	8.16	Rep1
axr	mcp	ACC	axr_mcp	4.58	Rep1
axr	mcp	ACC	axr_mcp	6.34	Rep1
axr	mcp	ACC	axr_mcp	6.93	Rep1
axr	mcp	ACC	axr_mcp	8.13	Rep1
axr	mcp	ACC	axr_mcp	8.27	Rep1
axr	mcp	ACC	axr_mcp	8.51	Rep1
axr	mcp	ACC	axr_mcp	9.14	Rep1
axr	mcp	ACC	axr_mcp	10.18	Rep1
axr	mcp	ACC	axr_mcp	10.29	Rep1
axr	mcp	ACC	axr_mcp	10.46	Rep1
axr	mcp	ACC	axr_mcp	13.09	Rep1
axr	mcp	ACC	axr_mcp	15.54	Rep1
col	air	ACC	col	4.02	Rep1
col	air	ACC	col	4.06	Rep1
col	air	ACC	col	4.75	Rep1
col	air	ACC	col	4.98	Rep1
col	air	ACC	col	5.05	Rep1
col	air	ACC	col	5.12	Rep1
col	air	ACC	col	5.15	Rep1
col	air	ACC	col	5.38	Rep1
col	air	ACC	col	5.44	Rep1
col	air	ACC	col	5.51	Rep1
col	air	ACC	col	5.52	Rep1
col	air	ACC	col	5.54	Rep1
col	air	ACC	col	5.59	Rep1
col	air	ACC	col	5.64	Rep1
col	air	ACC	col	5.71	Rep1
col	air	ACC	col	5.95	Rep1
col	air	ACC	col	6.18	Rep1
col	air	ACC	col	6.24	Rep1
col	air	ACC	col	6.73	Rep1
col	mcp	ACC	col_mcp	7.13	Rep1
col	mcp	ACC	col_mcp	7.29	Rep1
col	mcp	ACC	col_mcp	7.3	Rep1
col	mcp	ACC	col_mcp	8.3	Rep1
col	mcp	ACC	col_mcp	8.37	Rep1
col	mcp	ACC	col_mcp	9.46	Rep1
col	mcp	ACC	col_mcp	9.86	Rep1
col	mcp	ACC	col_mcp	10.06	Rep1
col	mcp	ACC	col_mcp	10.08	Rep1
col	mcp	ACC	col_mcp	10.33	Rep1
col	mcp	ACC	col_mcp	10.7	Rep1
col	mcp	ACC	col_mcp	11.35	Rep1
axr	air	CL28	axr	3.09	Rep1
axr	air	CL28	axr	4.06	Rep1
axr	air	CL28	axr	4.19	Rep1
axr	air	CL28	axr	4.8	Rep1
axr	air	CL28	axr	5.35	Rep1
axr	air	CL28	axr	5.84	Rep1
axr	air	CL28	axr	5.87	Rep1
axr	air	CL28	axr	6.14	Rep1
axr	air	CL28	axr	6.21	Rep1
axr	air	CL28	axr	6.63	Rep1
axr	air	CL28	axr	6.67	Rep1
axr	air	CL28	axr	7.34	Rep1
axr	mcp	CL28	axr_mcp	4.11	Rep1
axr	mcp	CL28	axr_mcp	4.16	Rep1
axr	mcp	CL28	axr_mcp	4.28	Rep1
axr	mcp	CL28	axr_mcp	4.37	Rep1
axr	mcp	CL28	axr_mcp	5.14	Rep1
axr	mcp	CL28	axr_mcp	5.83	Rep1
axr	mcp	CL28	axr_mcp	6.03	Rep1
axr	mcp	CL28	axr_mcp	6.64	Rep1
axr	mcp	CL28	axr_mcp	6.78	Rep1
axr	mcp	CL28	axr_mcp	7.04	Rep1
axr	mcp	CL28	axr_mcp	7.17	Rep1
axr	mcp	CL28	axr_mcp	8.23	Rep1
col	air	CL28	col	0.35	Rep1
col	air	CL28	col	0.41	Rep1
col	air	CL28	col	1.02	Rep1
col	air	CL28	col	1.26	Rep1
col	air	CL28	col	1.36	Rep1
col	air	CL28	col	1.38	Rep1
col	air	CL28	col	1.58	Rep1
col	air	CL28	col	1.59	Rep1
col	air	CL28	col	1.65	Rep1
col	air	CL28	col	1.66	Rep1
col	air	CL28	col	1.66	Rep1
col	air	CL28	col	1.85	Rep1
col	air	CL28	col	1.86	Rep1
col	air	CL28	col	1.86	Rep1
col	air	CL28	col	1.89	Rep1
col	air	CL28	col	2.01	Rep1
col	air	CL28	col	2.02	Rep1
col	air	CL28	col	2.03	Rep1
col	air	CL28	col	2.04	Rep1
col	air	CL28	col	2.14	Rep1
col	air	CL28	col	2.17	Rep1
col	air	CL28	col	2.73	Rep1
col	mcp	CL28	col_mcp	1.42	Rep1
col	mcp	CL28	col_mcp	1.55	Rep1
col	mcp	CL28	col_mcp	1.8	Rep1
col	mcp	CL28	col_mcp	1.99	Rep1
col	mcp	CL28	col_mcp	2.1	Rep1
col	mcp	CL28	col_mcp	2.12	Rep1
col	mcp	CL28	col_mcp	2.21	Rep1
col	mcp	CL28	col_mcp	2.26	Rep1
col	mcp	CL28	col_mcp	2.59	Rep1
col	mcp	CL28	col_mcp	2.8	Rep1
col	mcp	CL28	col_mcp	2.86	Rep1
col	mcp	CL28	col_mcp	3.24	Rep1
axr	air	CL52	axr	2.5	Rep1
axr	air	CL52	axr	2.99	Rep1
axr	air	CL52	axr	3.39	Rep1
axr	air	CL52	axr	3.49	Rep1
axr	air	CL52	axr	3.84	Rep1
axr	air	CL52	axr	3.95	Rep1
axr	air	CL52	axr	3.96	Rep1
axr	air	CL52	axr	4.08	Rep1
axr	air	CL52	axr	5.11	Rep1
axr	air	CL52	axr	7.1	Rep1
axr	air	CL52	axr	7.36	Rep1
axr	mcp	CL52	axr_mcp	1.61	Rep1
axr	mcp	CL52	axr_mcp	2.05	Rep1
axr	mcp	CL52	axr_mcp	3.08	Rep1
axr	mcp	CL52	axr_mcp	3.21	Rep1
axr	mcp	CL52	axr_mcp	3.57	Rep1
axr	mcp	CL52	axr_mcp	3.72	Rep1
axr	mcp	CL52	axr_mcp	4.12	Rep1
axr	mcp	CL52	axr_mcp	5.17	Rep1
axr	mcp	CL52	axr_mcp	6.1	Rep1
col	air	CL52	col	0.31	Rep1
col	air	CL52	col	0.47	Rep1
col	air	CL52	col	0.63	Rep1
col	air	CL52	col	1.03	Rep1
col	air	CL52	col	1.41	Rep1
col	air	CL52	col	1.59	Rep1
col	air	CL52	col	1.6	Rep1
col	air	CL52	col	2.01	Rep1
col	air	CL52	col	2.2	Rep1
col	air	CL52	col	2.22	Rep1
col	air	CL52	col	2.33	Rep1
col	air	CL52	col	2.38	Rep1
col	air	CL52	col	2.59	Rep1
col	air	CL52	col	2.66	Rep1
col	air	CL52	col	2.74	Rep1
col	air	CL52	col	2.81	Rep1
col	air	CL52	col	2.87	Rep1
col	air	CL52	col	2.9	Rep1
col	air	CL52	col	3	Rep1
col	air	CL52	col	3.02	Rep1
col	air	CL52	col	3.08	Rep1
col	air	CL52	col	3.17	Rep1
col	air	CL52	col	3.23	Rep1
col	air	CL52	col	3.46	Rep1
col	mcp	CL52	col_mcp	1.97	Rep1
col	mcp	CL52	col_mcp	2.01	Rep1
col	mcp	CL52	col_mcp	3.45	Rep1
col	mcp	CL52	col_mcp	3.91	Rep1
col	mcp	CL52	col_mcp	4.2	Rep1
col	mcp	CL52	col_mcp	4.2	Rep1
col	mcp	CL52	col_mcp	4.32	Rep1
col	mcp	CL52	col_mcp	4.61	Rep1
col	mcp	CL52	col_mcp	4.66	Rep1
col	mcp	CL52	col_mcp	4.83	Rep1
col	mcp	CL52	col_mcp	4.86	Rep1
col	mcp	CL52	col_mcp	4.97	Rep1
axr	air	IAA	axr	4.52	Rep1
axr	air	IAA	axr	6.11	Rep1
axr	air	IAA	axr	6.89	Rep1
axr	air	IAA	axr	7.39	Rep1
axr	air	IAA	axr	7.85	Rep1
axr	air	IAA	axr	7.99	Rep1
