SynCom	Length	Rep	Diversity
NB	6.239391667	R1	NB
NB	6.806616667	R1	NB
NB	4.264383333	R1	NB
NB	5.81055	R1	NB
NB	6.323958333	R1	NB
NB	6.806616667	R1	NB
NB	5.350933333	R1	NB
NB	6.155083333	R1	NB
NB	6.609275	R1	NB
NB	5.555625	R1	NB
NB	3.65855	R1	NB
NB	5.106125	R1	NB
NB	6.464708333	R1	NB
NB	5.150241667	R1	NB
NB	6.300791667	R1	NB
NB	6.506916667	R1	NB
NB	6.768491667	R1	NB
NB	3.110066667	R1	NB
NB	3.551408333	R1	NB
NB	6.918091667	R1	NB
NB	6.454841667	R1	NB
NB	6.323958333	R1	NB
NB	3.653083333	R1	NB
NB	3.39485	R1	NB
NB	5.842091667	R1	NB
NB	6.07495	R1	NB
NB	4.563441667	R1	NB
NB	3.413208333	R1	NB
NB	3.9579	R1	NB
NB	4.123108333	R1	NB
A	3.5171	R1	Single
A	3.530225	R1	Single
A	2.598558333	R1	Single
A	2.654241667	R1	Single
A	3.905125	R1	Single
A	3.634558333	R1	Single
A	4.4071	R1	Single
A	5.001	R1	Single
A	4.556866667	R1	Single
A	3.7663	R1	Single
A	5.290083333	R1	Single
A	5.035875	R1	Single
A	3.95285	R1	Single
A	5.25595	R1	Single
A	2.55	R1	Single
A	5.323533333	R1	Single
A	4.902291667	R1	Single
A	4.606791667	R1	Single
A	5.750216667	R1	Single
A	2.631541667	R1	Single
A	3.873308333	R1	Single
A	3.716516667	R1	Single
A	3.9	R1	Single
A	3.750333333	R1	Single
A	4.101216667	R1	Single
B	5.6772	R1	Single
B	6.228	R1	Single
B	6.1212	R1	Single
B	5.898	R1	Single
B	5.418	R1	Single
B	4.0248	R1	Single
B	3.2904	R1	Single
B	5.0148	R1	Single
B	4.2516	R1	Single
B	5.7708	R1	Single
B	3.2064	R1	Single
B	4.2384	R1	Single
B	4.8612	R1	Single
B	4.9608	R1	Single
B	3.4656	R1	Single
B	3.9564	R1	Single
B	3.5448	R1	Single
B	4.6032	R1	Single
B	4.884	R1	Single
B	4.2924	R1	Single
B	4.3344	R1	Single
B	4.9812	R1	Single
B	5.2368	R1	Single
B	5.5992	R1	Single
B	5.3556	R1	Single
B	3.69	R1	Single
B	5.4228	R1	Single
B	5.0784	R1	Single
B	2.9652	R1	Single
B	5.1936	R1	Single
B	4.4448	R1	Single
B	3.9948	R1	Single
B	4.1856	R1	Single
B	3.144	R1	Single
B	4.5552	R1	Single
B	4.0848	R1	Single
B	4.7916	R1	Single
B	5.1384	R1	Single
B	4.6116	R1	Single
B	4.4844	R1	Single
B	4.4244	R1	Single
B	4.4112	R1	Single
C	1.181	R1	Single
C	0.945	R1	Single
C	0.983	R1	Single
C	1.032	R1	Single
C	1.229	R1	Single
C	2.165	R1	Single
C	1.425	R1	Single
C	1.932	R1	Single
C	2.255	R1	Single
C	2.41	R1	Single
C	2.162	R1	Single
C	2.774	R1	Single
C	2.016	R1	Single
