Strain	Length	Experiment
MF455	5.454644628	duo1
MF455	5.283983471	duo1
MF455	5.094157025	duo1
MF455	5.531561983	duo1
MF455	5.459099174	duo1
MF455	4.993487603	duo1
MF455	5.391495868	duo1
MF455	5.196	duo1
MF455	4.898842975	duo1
MF455	5.082157025	duo1
CL144	6.356958678	duo1
CL144	6.65368595	duo1
CL144	7.356041322	duo1
CL144	6.536471074	duo1
CL144	6.117933884	duo1
CL144	6.944983471	duo1
CL144	5.863322314	duo1
CL144	5.93446281	duo1
CL144	5.061735537	duo1
CL144	4.760446281	duo1
CL21	5.176297521	duo1
CL21	5.900297521	duo1
CL21	5.955966942	duo1
CL21	5.650495868	duo1
CL21	5.990859504	duo1
CL21	5.81014876	duo1
CL21	5.693371901	duo1
CL21	6.014214876	duo1
CL21	5.66153719	duo1
CL21	5.348429752	duo1
CL71	5.445247934	duo1
CL71	2.40238843	duo1
CL71	3.100090909	duo1
CL71	3.371942149	duo1
CL71	5.229958678	duo1
CL71	2.343727273	duo1
CL71	4.236371901	duo1
CL71	4.774198347	duo1
CL71	4.532570248	duo1
CL71	2.347338843	duo1
MF220A	5.720181818	duo1
MF220A	6.260867769	duo1
MF220A	3.858719008	duo1
MF220A	3.235363636	duo1
MF220A	5.241338843	duo1
MF220A	4.99307438	duo1
MF220A	5.794561983	duo1
MF220A	5.182421488	duo1
MF220A	5.531561983	duo1
MF220A	5.627702479	duo1
MF397	2.23361157	duo1
MF397	2.351644628	duo1
MF397	4.74253719	duo1
MF397	5.107545455	duo1
MF397	4.052322314	duo1
MF397	3.85038843	duo1
MF397	5.206504132	duo1
MF397	4.695644628	duo1
MF397	4.341950413	duo1
MF364	5.806950413	duo1
MF364	6.07907438	duo1
MF364	6.074826446	duo1
MF364	5.457752066	duo1
MF364	4.959669421	duo1
MF364	5.046066116	duo1
MF364	5.42685124	duo1
MF364	5.917355372	duo1
MF364	5.998198347	duo1
MF364	5.844066116	duo1
MF349	5.314016529	duo1
MF349	4.515421488	duo1
MF349	5.342834711	duo1
MF349	4.119719008	duo1
MF349	5.047413223	duo1
MF349	5.24061157	duo1
MF349	5.256305785	duo1
MF349	5.404760331	duo1
MF349	5.504231405	duo1
MF278	6.066206612	duo1
MF278	5.235785124	duo1
MF278	5.912669421	duo1
MF278	6.400305785	duo1
MF278	5.810214876	duo1
MF278	4.605760331	duo1
MF278	6.052066116	duo1
MF278	6.116504132	duo1
MF278	4.561983471	duo1
MF278	3.840479339	duo1
MF110	5.93961157	duo1
MF110	5.93961157	duo1
MF110	6.402049587	duo1
MF110	6.114991736	duo1
MF110	6.758710744	duo1
MF110	5.894528926	duo1
MF110	6.059983471	duo1
MF110	5.453669421	duo1
MF110	6.268735537	duo1
MF110	5.839297521	duo1
MF377	6.258264463	duo1
MF377	5.722446281	duo1
MF377	6.345214876	duo1
MF377	5.392710744	duo1
MF377	3.997024793	duo1
MF377	5.425115702	duo1
MF377	5.972438017	duo1
MF377	5.439247934	duo1
MF377	4.514454545	duo1
MF377	5.068991736	duo1
MF160	5.517247934	duo1
MF160	5.760801653	duo1
MF160	5.235107438	duo1
MF160	4.945024793	duo1
MF160	5.074619835	duo1
MF160	4.808438017	duo1
MF160	4.377702479	duo1
MF160	4.244586777	duo1
MF160	3.41653719	duo1
CL14	5.823487603	duo1
CL14	5.902586777	duo1
CL14	5.86022314	duo1
CL14	6.062421488	duo1
CL14	6.007528926	duo1
CL14	4.783057851	duo1
CL14	5.714057851	duo1
CL14	5.79677686	duo1
CL14	5.547049587	duo1
CL14	5.616190083	duo1
MF247	2.059165289	duo1
MF247	5.643363636	duo1
MF247	5.673181818	duo1
MF247	5.390404959	duo1
MF247	5.22222314	duo1
MF247	4.547380165	duo1
MF247	3.391454545	duo1
MF350	4.055652893	duo1
MF350	5.920677686	duo1
MF350	4.66153719	duo1
MF350	4.424380165	duo1
MF350	6.530115702	duo1
MF350	6.26814876	duo1
MF350	5.180305785	duo1
MF350	6.408644628	duo1
MF350	5.109016529	duo1
MF350	4.380942149	duo1
MF4	5.893066116	duo1
MF4	5.724380165	duo1
MF4	5.637239669	duo1
MF4	5.521057851	duo1
MF4	6.001842975	duo1
MF4	3.471115702	duo1
MF4	5.173553719	duo1
MF4	5.127190083	duo1
MF4	5.188743802	duo1
MF4	3.868371901	duo1
CL11	4.611363636	duo1
CL11	3.107438017	duo1
CL11	5.332570248	duo1
CL11	0.926206612	duo1
CL11	5.72053719	duo1
CL11	5.403008264	duo1
CL11	5.207842975	duo1
CL11	5.371900826	duo1
CL11	2.07146281	duo1
CL11	4.645066116	duo1
MF384	5.923264463	duo1
MF384	5.935933884	duo1
MF384	5.24061157	duo1
MF384	5.972438017	duo1
MF384	5.965909091	duo1
MF384	5.795528926	duo1
MF384	5.868140496	duo1
MF384	5.077636364	duo1
MF384	3.615570248	duo1
MF384	5.388528926	duo1
MF45	3.241735537	duo1
MF45	2.921090909	duo1
MF45	3.787719008	duo1
MF45	3.572123967	duo1
MF45	3.338884298	duo1
MF45	2.664438017	duo1
MF45	3.265619835	duo1
MF45	2.645917355	duo1
MF107	1.621942149	duo1
MF107	1.794355372	duo1
MF107	1.870396694	duo1
MF107	1.839471074	duo1
MF107	1.595363636	duo1
MF107	1.617553719	duo1
MF107	2.376603306	duo1
CL28	2.501595041	duo1
CL28	1.190132231	duo1
CL28	1.240099174	duo1
CL28	1.816842975	duo1
CL28	1.864900826	duo1
CL28	1.784338843	duo1
CL28	1.790859504	duo1
CL28	1.541793388	duo1
CL28	1.616867769	duo1
MF224	1.564322314	duo1
MF224	1.111867769	duo1
MF224	1.68853719	duo1
MF224	1.673429752	duo1
MF224	1.071834711	duo1
MF224	0.954966942	duo1
MF224	1.14753719	duo1
MF224	1.05707438	duo1
MF48	0.298553719	duo1
MF48	1.017735537	duo1
MF48	1.264702479	duo1
MF48	1.427289256	duo1
MF48	0.517702479	duo1
MF48	0.156809917	duo1
MF48	0.223140496	duo1
MF48	0.457165289	duo1
MF48	0.298553719	duo1
CL58	0.926206612	duo1
CL58	1.589702479	duo1
CL58	0.761942149	duo1
CL58	1.388826446	duo1
CL58	1.537280992	duo1
CL58	1.372	duo1
CL58	0.850876033	duo1
CL58	1.190082645	duo1
CL58	0.832371901	duo1
MF51	0.730272727	duo1
MF51	1.535413223	duo1
MF51	1.560826446	duo1
MF51	1.087644628	duo1
MF51	0.727272727	duo1
MF51	0.597107438	duo1
MF51	0.806024793	duo1
MF254	1.523892562	duo1
MF254	1.171570248	duo1
MF254	1.145272727	duo1
MF254	1.330652893	duo1
MF254	1.361809917	duo1
MF254	0.784033058	duo1
MF254	1.853082645	duo1
MF254	1.792	duo1
MF366	0.991735537	duo1
MF6	0.669371901	duo1
MF6	0.641867769	duo1
MF6	0.694214876	duo1
MF6	0.661983471	duo1
MF6	0.609553719	duo1
MF6	0.297520661	duo1
MF6	0.495867769	duo1
MF6	0.297520661	duo1
MF6	0.773867769	duo1
MF6	0.727272727	duo1
MF3	2.136520661	duo1
MF3	3.104272727	duo1
MF3	3.471702479	duo1
MF3	3.358586777	duo1
MF3	3.609214876	duo1
MF3	4.264595041	duo1
MF3	3.209338843	duo1
MF3	2.482859504	duo1
MF131	3.051198347	duo1
MF131	2.454421488	duo1
MF131	2.038041322	duo1
MF131	1.907644628	duo1
MF131	2.516380165	duo1
MF131	1.968694215	duo1
MF131	2.211619835	duo1
MF131	2.943322314	duo1
