Treatment	MainRoot	Type	Specific	InhibitedStrain	InhibitorStrain
MF107	1.6219421488	Mono	Short	MF107	NB
MF107	1.7943553719	Mono	Short	MF107	NB
MF107	1.8703966942	Mono	Short	MF107	NB
MF107	1.8394710744	Mono	Short	MF107	NB
MF107	1.5953636364	Mono	Short	MF107	NB
MF107	1.617553719	Mono	Short	MF107	NB
MF107	2.3766033058	Mono	Short	MF107	NB
MF107-MF455	2.9538760331	Duo	Duo	MF107	MF455
MF107-MF455	2.8950165289	Duo	Duo	MF107	MF455
MF107-MF455	3.1614793388	Duo	Duo	MF107	MF455
MF107-MF455	3.0793966942	Duo	Duo	MF107	MF455
MF107-MF455	2.8403801653	Duo	Duo	MF107	MF455
MF107-MF455	3.586892562	Duo	Duo	MF107	MF455
MF107-MF455	3.3468512397	Duo	Duo	MF107	MF455
MF107-MF455	3.2157190083	Duo	Duo	MF107	MF455
MF107-CL21	1.5705950413	Duo	Duo	MF107	CL21
MF107-CL21	1.888785124	Duo	Duo	MF107	CL21
MF107-CL21	2.1465950413	Duo	Duo	MF107	CL21
MF107-CL21	2.2252727273	Duo	Duo	MF107	CL21
MF107-CL21	2.3539090909	Duo	Duo	MF107	CL21
MF107-CL21	2.0806115702	Duo	Duo	MF107	CL21
MF107-CL21	1.9893140496	Duo	Duo	MF107	CL21
MF107-CL21	2.4659173554	Duo	Duo	MF107	CL21
MF107-CL21	2.0847438017	Duo	Duo	MF107	CL21
MF107-CL21	2.1940578512	Duo	Duo	MF107	CL21
MF107-CL144	2.2306115702	Duo	Duo	MF107	CL144
MF107-CL144	1.9244628099	Duo	Duo	MF107	CL144
MF107-CL144	1.8454049587	Duo	Duo	MF107	CL144
MF107-CL144	2.0806115702	Duo	Duo	MF107	CL144
MF107-CL144	2.1510495868	Duo	Duo	MF107	CL144
MF107-CL144	1.9604710744	Duo	Duo	MF107	CL144
MF107-CL144	1.9566363636	Duo	Duo	MF107	CL144
MF107-CL144	1.9395950413	Duo	Duo	MF107	CL144
MF107-CL144	2.3598760331	Duo	Duo	MF107	CL144
MF107-CL71	1.0543553719	Duo	Duo	MF107	CL71
MF107-CL71	1.2978099174	Duo	Duo	MF107	CL71
MF107-CL71	1.7280413223	Duo	Duo	MF107	CL71
MF107-CL71	1.4711652893	Duo	Duo	MF107	CL71
MF107-CL71	1.372	Duo	Duo	MF107	CL71
MF107-CL71	2.155231405	Duo	Duo	MF107	CL71
MF107-CL71	1.6595702479	Duo	Duo	MF107	CL71
MF107-CL71	1.1746033058	Duo	Duo	MF107	CL71
MF107-CL71	1.6851404959	Duo	Duo	MF107	CL71
MF107-CL71	1.289677686	Duo	Duo	MF107	CL71
MF107-MF220A	2.6450909091	Duo	Duo	MF107	MF220A
MF107-MF220A	3.5060413223	Duo	Duo	MF107	MF220A
MF107-MF220A	3.6700165289	Duo	Duo	MF107	MF220A
MF107-MF220A	3.1406694215	Duo	Duo	MF107	MF220A
MF107-MF220A	3.1654545455	Duo	Duo	MF107	MF220A
MF107-MF220A	3.0871983471	Duo	Duo	MF107	MF220A
MF107-MF220A	1.6872479339	Duo	Duo	MF107	MF220A
MF107-MF220A	3.8737355372	Duo	Duo	MF107	MF220A
MF107-MF220A	3.6034545455	Duo	Duo	MF107	MF220A
MF107-MF220A	3.727338843	Duo	Duo	MF107	MF220A
MF107-MF397	3.5706280992	Duo	Duo	MF107	MF397
MF107-MF397	4.1474793388	Duo	Duo	MF107	MF397
MF107-MF397	3.1540826446	Duo	Duo	MF107	MF397
MF107-MF397	2.9174380165	Duo	Duo	MF107	MF397
MF107-MF397	2.7498181818	Duo	Duo	MF107	MF397
MF107-MF397	3.3822561983	Duo	Duo	MF107	MF397
MF107-MF397	2.6324132231	Duo	Duo	MF107	MF397
MF107-MF397	3.6033471074	Duo	Duo	MF107	MF397
MF107-MF397	3.0558429752	Duo	Duo	MF107	MF397
MF107-MF369	2.217892562	Duo	Duo	MF107	MF369
MF107-MF369	2.5319504132	Duo	Duo	MF107	MF369
MF107-MF369	3.1090165289	Duo	Duo	MF107	MF369
MF107-MF369	2.3480413223	Duo	Duo	MF107	MF369
MF107-MF369	2.8608429752	Duo	Duo	MF107	MF369
MF107-MF369	2.4674628099	Duo	Duo	MF107	MF369
MF107-MF369	2.7384710744	Duo	Duo	MF107	MF369
MF107-MF369	2.7069586777	Duo	Duo	MF107	MF369
MF107-MF369	3.1516115702	Duo	Duo	MF107	MF369
MF107-MF369	2.8428347107	Duo	Duo	MF107	MF369
MF107-MF349	2.9375454545	Duo	Duo	MF107	MF349
MF107-MF349	2.9531322314	Duo	Duo	MF107	MF349
MF107-MF349	2.8828677686	Duo	Duo	MF107	MF349
MF107-MF349	3.0282231405	Duo	Duo	MF107	MF349
MF107-MF349	2.9571570248	Duo	Duo	MF107	MF349
MF107-MF349	2.6862975207	Duo	Duo	MF107	MF349
MF107-MF349	2.7723305785	Duo	Duo	MF107	MF349
MF107-MF349	2.341338843	Duo	Duo	MF107	MF349
MF107-MF278	1.376768595	Duo	Duo	MF107	MF278
MF107-MF278	1.7218677686	Duo	Duo	MF107	MF278
MF107-MF278	2.0954628099	Duo	Duo	MF107	MF278
MF107-MF278	1.6697520661	Duo	Duo	MF107	MF278
MF107-MF278	2.1518760331	Duo	Duo	MF107	MF278
MF107-MF278	2.0198429752	Duo	Duo	MF107	MF278
MF107-MF278	2.2659669421	Duo	Duo	MF107	MF278
MF107-MF278	1.0147438017	Duo	Duo	MF107	MF278
MF107-MF278	2.0714628099	Duo	Duo	MF107	MF278
MF107-MF278	2.7945619835	Duo	Duo	MF107	MF278
MF107-MF110	1.6701570248	Duo	Duo	MF107	MF110
MF107-MF110	2.3832066116	Duo	Duo	MF107	MF110
MF107-MF110	2.0993719008	Duo	Duo	MF107	MF110
MF107-MF110	1.9440330579	Duo	Duo	MF107	MF110
MF107-MF110	2.0790330579	Duo	Duo	MF107	MF110
MF107-MF110	2.169322314	Duo	Duo	MF107	MF110
MF107-MF110	2.1893801653	Duo	Duo	MF107	MF110
MF107-MF110	2.1101404959	Duo	Duo	MF107	MF110
MF107-MF110	1.9945289256	Duo	Duo	MF107	MF110
MF107-MF110	1.4744132231	Duo	Duo	MF107	MF110
MF107-MF375	1.8572066116	Duo	Duo	MF107	MF375
MF107-MF375	1.9510413223	Duo	Duo	MF107	MF375
MF107-MF375	2.8807768595	Duo	Duo	MF107	MF375
MF107-MF375	3.1516115702	Duo	Duo	MF107	MF375
MF107-MF375	2.9677107438	Duo	Duo	MF107	MF375
MF107-MF375	2.6907107438	Duo	Duo	MF107	MF375
MF107-MF375	2.2654297521	Duo	Duo	MF107	MF375
MF107-MF375	1.7209917355	Duo	Duo	MF107	MF375
MF107-MF375	2.7111983471	Duo	Duo	MF107	MF375
MF107-MF160	1.3727933884	Duo	Duo	MF107	MF160
MF107-MF160	1.9312727273	Duo	Duo	MF107	MF160
MF107-MF160	1.9845702479	Duo	Duo	MF107	MF160
MF107-MF160	2.3242396694	Duo	Duo	MF107	MF160
MF107-MF160	1.8530826446	Duo	Duo	MF107	MF160
MF107-MF160	2.078768595	Duo	Duo	MF107	MF160
MF107-MF160	2.3801652893	Duo	Duo	MF107	MF160
MF107-MF160	1.9871157025	Duo	Duo	MF107	MF160
MF107-MF160	1.3083966942	Duo	Duo	MF107	MF160
MF107-CL14	2.9481322314	Duo	Duo	MF107	CL14
MF107-CL14	3.032553719	Duo	Duo	MF107	CL14
MF107-CL14	3.3249421488	Duo	Duo	MF107	CL14
MF107-CL14	3.3971239669	Duo	Duo	MF107	CL14
MF107-CL14	2.8803966942	Duo	Duo	MF107	CL14
MF107-CL14	2.4508595041	Duo	Duo	MF107	CL14
MF107-CL14	2.7894214876	Duo	Duo	MF107	CL14
MF107-CL14	2.9461404959	Duo	Duo	MF107	CL14
