InhibitedStrain	InhibitorStrain	MainRoot	Rep
MF10	NB	2.516305785	Rep1
MF10	NB	1.423884298	Rep1
MF10	NB	2.595247934	Rep1
MF10	NB	2.212280992	Rep1
MF10	NB	1.702561983	Rep1
MF10	CL11	6.322752066	Rep1
MF10	CL14	6.148809917	Rep1
MF10	CL14	7.988132231	Rep1
MF10	CL14	7.193545455	Rep1
MF10	CL14	7.11846281	Rep1
MF3	NB	2.743454545	Rep1
MF3	NB	2.852966942	Rep1
MF3	NB	3.50631405	Rep1
MF3	NB	2.826446281	Rep1
MF3	NB	2.877743802	Rep1
MF3	CL11	5.193429752	Rep1
MF3	CL11	6.076404959	Rep1
MF3	CL11	5.752280992	Rep1
MF3	CL11	5.243380165	Rep1
MF3	CL11	5.153801653	Rep1
MF3	CL11	5.235107438	Rep1
MF3	CL14	3.844256198	Rep1
MF3	CL14	3.50631405	Rep1
MF3	CL14	4.289256198	Rep1
MF3	CL14	4.527694215	Rep1
MF3	CL14	4.621157025	Rep1
MF31	NB	1.561983471	Rep1
MF31	NB	0.925694215	Rep1
MF31	NB	0.867768595	Rep1
MF31	NB	1.011371901	Rep1
MF31	CL11	1.165553719	Rep1
MF31	CL11	1.235198347	Rep1
MF31	CL11	0.969801653	Rep1
MF31	CL11	0.922702479	Rep1
MF31	CL11	0.550504132	Rep1
MF31	CL11	1.108793388	Rep1
MF31	CL14	6.998066116	Rep1
MF31	CL14	6.670157025	Rep1
MF31	CL14	4.794363636	Rep1
MF31	CL14	6.191504132	Rep1
MF31	CL14	7.47268595	Rep1
CL52	NB	2.238247934	Rep1
CL52	NB	1.268942149	Rep1
CL52	NB	1.577140496	Rep1
CL52	NB	1.955884298	Rep1
CL52	NB	2.602041322	Rep1
CL52	CL11	4.34138843	Rep1
CL52	CL11	2.879876033	Rep1
CL52	CL11	3.676198347	Rep1
CL52	CL14	7.637809917	Rep1
CL52	CL14	5.670479339	Rep1
CL52	CL14	6.436975207	Rep1
CL52	CL14	6.673289256	Rep1
CL52	CL14	7.489082645	Rep1
CL52	CL14	6.024793388	Rep1
CL72	NB	1.369256198	Rep1
CL72	CL11	3.750446281	Rep1
CL72	CL11	3.94246281	Rep1
CL72	CL11	3.414380165	Rep1
CL72	CL11	2.779628099	Rep1
CL72	CL11	5.209504132	Rep1
CL72	CL14	6.133793388	Rep1
CL72	CL14	4.772966942	Rep1
CL72	CL14	5.556429752	Rep1
CL72	CL14	4.420181818	Rep1
MF224	NB	4.208818182	Rep1
MF224	NB	3.600512397	Rep1
MF224	NB	4.293842975	Rep1
MF224	NB	4.786727273	Rep1
MF224	CL14	3.773809917	Rep1
MF224	CL14	3.310917355	Rep1
MF224	CL14	2.983561983	Rep1
MF224	CL14	3.093909091	Rep1
MF224	CL14	2.923206612	Rep1
MF224	CL11	4.099991736	Rep1
MF224	CL11	5.788818182	Rep1
MF224	CL11	5.17422314	Rep1
MF491	NB	1.479727273	Rep1
MF491	NB	0.768595041	Rep1
MF491	NB	1.125578512	Rep1
MF491	NB	1.190082645	Rep1
MF491	NB	1.367239669	Rep1
MF491	CL11	2.620528926	Rep1
MF491	CL11	1.455338843	Rep1
MF491	CL11	2.412272727	Rep1
MF491	CL11	3.147826446	Rep1
MF491	CL14	5.220421488	Rep1
MF491	CL14	4.501446281	Rep1
MF491	CL14	4.860619835	Rep1
MF491	CL14	5.483338843	Rep1
MF26	NB	0.661570248	Rep1
MF26	NB	1.02692562	Rep1
MF26	NB	0.561256198	Rep1
MF26	CL11	0.884950413	Rep1
MF26	CL11	1.913115702	Rep1
MF26	CL11	1.683396694	Rep1
MF26	CL11	0.982396694	Rep1
MF26	CL14	5.884867769	Rep1
MF26	CL14	5.780264463	Rep1
MF26	CL14	4.834966942	Rep1
MF26	CL14	7.476016529	Rep1
MF48	NB	2.803404959	Rep1
MF48	NB	1.561983471	Rep1
MF48	NB	2.654743802	Rep1
MF48	CL11	5.86477686	Rep1
MF48	CL11	4.197702479	Rep1
MF48	CL11	3.942694215	Rep1
MF48	CL11	4.640603306	Rep1
MF48	CL11	4.214876033	Rep1
MF48	CL11	4.392909091	Rep1
MF48	CL11	3.636438017	Rep1
MF48	CL14	2.013768595	Rep1
MF48	CL14	1.599123967	Rep1
CL91	NB	0.523016529	Rep1
CL91	NB	1.191115702	Rep1
CL91	NB	0.523016529	Rep1
CL91	NB	0.32231405	Rep1
CL91	NB	1.342512397	Rep1
CL91	CL11	0.94214876	Rep1
CL91	CL11	1.655041322	Rep1
CL91	CL11	4.464528926	Rep1
CL91	CL11	3.992429752	Rep1
CL91	CL11	3.644966942	Rep1
CL91	CL14	3.502983471	Rep1
CL91	CL14	3.331553719	Rep1
CL91	CL14	2.975305785	Rep1
CL91	CL14	2.058	Rep1
CL91	CL14	2.215504132	Rep1
MF254	NB	1.133198347	Rep1
MF254	CL11	1.190082645	Rep1
MF254	CL11	0.691553719	Rep1
MF254	CL11	1.438016529	Rep1
MF254	CL14	3.824694215	Rep1
MF254	CL14	5.04238843	Rep1
MF254	CL14	6.12522314	Rep1
CL130	NB	0.624280992	Rep1
CL130	NB	0.570247934	Rep1
CL130	NB	1.26931405	Rep1
CL130	NB	0.743801653	Rep1
CL130	CL11	4.192719008	Rep1
CL130	CL11	2.827421488	Rep1
CL130	CL11	4.168900826	Rep1
CL130	CL11	4.048917355	Rep1
CL130	CL14	6.490041322	Rep1
CL130	CL14	4.072231405	Rep1
CL130	CL14	5.305842975	Rep1
MF6	NB	0.28268595	Rep1
MF6	NB	0.719008264	Rep1
MF6	NB	0.354983471	Rep1
MF6	CL11	0.27385124	Rep1
MF6	CL11	0.496487603	Rep1
MF6	CL11	0.729619835	Rep1
MF6	CL11	0.361	Rep1
