Length	SynCom	Experiment	Condition	Rep
1.968264463	DOV	Original	Control	Rep1
2.398917355	DOV	Original	Control	Rep1
1.587123967	DOV	Original	Control	Rep1
1.388429752	DOV	Original	Control	Rep1
1.427628099	DOV	Original	Control	Rep1
2.217586777	DOV	Original	Control	Rep1
2.033793388	DOV	Original	Control	Rep1
1.77714876	DOV	Original	Control	Rep1
2.493404959	DOV	Original	Control	Rep1
1.757049587	DOV	Original	Control	Rep1
1.819380165	DOV	Original	Control	Rep1
1.952933884	DOV	Original	Control	Rep1
2.029495868	DOV	Original	Control	Rep1
2.086834711	DOV	Original	Control	Rep1
1.260107438	DOV	Original	Control	Rep1
1.812165289	DOV	Original	Control	Rep1
1.62522314	DOV	Original	Control	Rep1
1.65322314	DOV	Original	Control	Rep1
1.661900826	DOV	Original	Control	Rep1
1.834710744	DOV	Original	Control	Rep1
2.060239669	DOV	Original	Control	Rep1
1.537190083	DOV	Original	Control	Rep1
1.760330579	DOV	Original	Control	Rep1
1.438867769	DOV	Original	Control	Rep1
1.736247934	DOV	Original	Control	Rep1
1.589876033	DOV	Original	Control	Rep1
1.785123967	DOV	Original	Control	Rep1
2.008264463	DOV	Original	Control	Rep1
2.008421488	DOV	Original	Control	Rep1
1.913115702	DOV	Original	Control	Rep1
2.479834711	DOV	Original	Control	Rep1
2.457677686	DOV	Original	Control	Rep1
1.463016529	DOV	Original	Control	Rep1
2.059198347	DOV	Original	Control	Rep1
3.091231405	DOV	Original	Control	Rep1
2.976859504	DOV	Original	Control	Rep1
2.669520661	DOV	Original	Control	Rep1
5.290909091	Full	Original	Control	Rep1
5.332570248	Full	Original	Control	Rep1
5.157975207	Full	Original	Control	Rep1
6.481446281	Full	Original	Control	Rep1
4.109421488	Full	Original	Control	Rep1
4.034280992	Full	Original	Control	Rep1
5.722446281	Full	Original	Control	Rep1
5.35792562	Full	Original	Control	Rep1
3.670016529	Full	Original	Control	Rep1
5.163801653	Full	Original	Control	Rep1
5.129190083	Full	Original	Control	Rep1
4.467214876	Full	Original	Control	Rep1
3.819008264	Full	Original	Control	Rep1
4.564975207	Full	Original	Control	Rep1
4.069471074	Full	Original	Control	Rep1
3.353214876	Full	Original	Control	Rep1
5.011727273	Full	Original	Control	Rep1
5.172256198	Full	Original	Control	Rep1
3.989057851	Full	Original	Control	Rep1
4.993487603	Full	Original	Control	Rep1
4.168570248	Full	Original	Control	Rep1
4.300694215	Full	Original	Control	Rep1
4.83561157	Full	Original	Control	Rep1
5.58922314	Full	Original	Control	Rep1
4.960438017	Full	Original	Control	Rep1
4.510553719	Full	Original	Control	Rep1
1.631933884	DOVB	Original	Control	Rep1
1.796107438	DOVB	Original	Control	Rep1
1.978231405	DOVB	Original	Control	Rep1
1.691123967	DOVB	Original	Control	Rep1
2.248173554	DOVB	Original	Control	Rep1
1.754867769	DOVB	Original	Control	Rep1
1.124454545	DOVB	Original	Control	Rep1
1.964090909	DOVB	Original	Control	Rep1
1.990347107	DOVB	Original	Control	Rep1
1.719008264	DOVB	Original	Control	Rep1
1.972975207	DOVB	Original	Control	Rep1
1.950694215	DOVB	Original	Control	Rep1
3.008446281	DOVB	Original	Control	Rep1
2.446280992	DOVB	Original	Control	Rep1
2.309793388	DOVB	Original	Control	Rep1
2.553173554	DOVB	Original	Control	Rep1
2.250123967	DOVB	Original	Control	Rep1
2.842586777	DOVB	Original	Control	Rep1
2.05385124	DOVB	Original	Control	Rep1
2.314991736	DOVB	Original	Control	Rep1
2.152826446	DOVB	Original	Control	Rep1
2.632198347	DOVB	Original	Control	Rep1
2.677892562	DOVB	Original	Control	Rep1
2.164975207	DOVB	Original	Control	Rep1
2.84777686	DOVB	Original	Control	Rep1
2.381082645	DOVB	Original	Control	Rep1
2.481322314	DOVB	Original	Control	Rep1
1.55407438	DOVB	Original	Control	Rep1
2.188066116	DOVB	Original	Control	Rep1
4.908619835	DOB	Original	Control	Rep1
5.487702479	DOB	Original	Control	Rep1
4.72831405	DOB	Original	Control	Rep1
5.05785124	DOB	Original	Control	Rep1
5.057958678	DOB	Original	Control	Rep1
4.40277686	DOB	Original	Control	Rep1
4.826561983	DOB	Original	Control	Rep1
3.869041322	DOB	Original	Control	Rep1
3.770917355	DOB	Original	Control	Rep1
3.372545455	DOB	Original	Control	Rep1
4.79338843	DOB	Original	Control	Rep1
4.69107438	DOB	Original	Control	Rep1
4.286066116	DOB	Original	Control	Rep1
4.765950413	DOB	Original	Control	Rep1
4.274826446	DOB	Original	Control	Rep1
3.961016529	DOB	Original	Control	Rep1
5.848528926	DOB	Original	Control	Rep1
4.165421488	DOB	Original	Control	Rep1
4.264595041	DOB	Original	Control	Rep1
5.588338843	DOB	Original	Control	Rep1
5.441206612	DOB	Original	Control	Rep1
4.450545455	DOB	Original	Control	Rep1
4.926066116	DOB	Original	Control	Rep1
4.13553719	DOB	Original	Control	Rep1
6.085876033	NB	Original	Control	Rep1
6.073024793	NB	Original	Control	Rep1
5.933214876	NB	Original	Control	Rep1
5.594694215	NB	Original	Control	Rep1
6.276206612	NB	Original	Control	Rep1
5.74046281	NB	Original	Control	Rep1
4.927396694	NB	Original	Control	Rep1
4.79338843	NB	Original	Control	Rep1
5.464553719	NB	Original	Control	Rep1
5.160834711	NB	Original	Control	Rep1
5.895520661	NB	Original	Control	Rep1
5.862528926	NB	Original	Control	Rep1
6.486165289	NB	Original	Control	Rep1
5.02707438	NB	Original	Control	Rep1
5.610107438	NB	Original	Control	Rep1
5.752446281	NB	Original	Control	Rep1
5.876586777	NB	Original	Control	Rep1
5.88485124	NB	Original	Control	Rep1
5.855628099	NB	Original	Control	Rep1
5.973876033	NB	Original	Control	Rep1
4.502305785	NB	Original	Control	Rep1
5.367396694	NB	Original	Control	Rep1
5.507082645	NB	Original	Control	Rep1
5.978628099	NB	Original	Control	Rep1
5.174900826	NB	Original	Control	Rep1
5.111900826	NB	Original	Control	Rep1
3.900826446	Full	Abiotic	Control	Rep1
4.727528926	Full	Abiotic	Control	Rep1
4.235082645	Full	Abiotic	Control	Rep1
3.905057851	Full	Abiotic	Control	Rep1
3.969280992	Full	Abiotic	Control	Rep1
3.290297521	Full	Abiotic	Control	Rep1
4.214876033	Full	Abiotic	Control	Rep1
4.11838843	Full	Abiotic	Control	Rep1
4.564198347	Full	Abiotic	Control	Rep1
3.720809917	Full	Abiotic	Control	Rep1
4.754958678	Full	Abiotic	Control	Rep1
4.442867769	Full	Abiotic	Control	Rep1
4.066652893	Full	Abiotic	Control	Rep1
3.903661157	Full	Abiotic	-P	Rep1
3.766603306	Full	Abiotic	-P	Rep1
4.043107438	Full	Abiotic	-P	Rep1
3.633429752	Full	Abiotic	-P	Rep1
4.810628099	Full	Abiotic	-P	Rep1
4.664471074	Full	Abiotic	-P	Rep1
5.072041322	Full	Abiotic	-P	Rep1
4.80977686	Full	Abiotic	-P	Rep1
4.354892562	Full	Abiotic	-P	Rep1
4.130644628	Full	Abiotic	-P	Rep1
4.818115702	Full	Abiotic	-P	Rep1
3.051413223	Full	Abiotic	-P	Rep1
3.944842975	Full	Abiotic	-P	Rep1
0.679495868	Full	Abiotic	Na	Rep1
0.965636364	Full	Abiotic	Na	Rep1
1.125057851	Full	Abiotic	Na	Rep1
0.830570248	Full	Abiotic	Na	Rep1
0.930917355	Full	Abiotic	Na	Rep1
0.807380165	Full	Abiotic	Na	Rep1
1.888785124	Full	Abiotic	Na	Rep1
1.199347107	Full	Abiotic	Na	Rep1
1.745818182	Full	Abiotic	Na	Rep1
0.495867769	Full	Abiotic	Na	Rep1
0.495867769	Full	Abiotic	Na	Rep1
3.405727273	Full	Abiotic	31deg	Rep1
2.135834711	Full	Abiotic	31deg	Rep1
2.02422314	Full	Abiotic	31deg	Rep1
3.078561983	Full	Abiotic	31deg	Rep1
3.984057851	Full	Abiotic	31deg	Rep1
4.519528926	Full	Abiotic	31deg	Rep1
3.036090909	Full	Abiotic	31deg	Rep1
4.40531405	Full	Abiotic	31deg	Rep1
2.76414876	Full	Abiotic	31deg	Rep1
3.81292562	Full	Abiotic	31deg	Rep1
4.234173554	Full	Abiotic	31deg	Rep1
4.011016529	Full	Abiotic	31deg	Rep1
3.593371901	Full	Abiotic	31deg	Rep1
3.53607438	Full	Abiotic	31deg	Rep1
3.26438843	Full	Abiotic	31deg	Rep1
1.104628099	Full	Abiotic	pH8.2	Rep1
1.165289256	Full	Abiotic	pH8.2	Rep1
1.838892562	Full	Abiotic	pH8.2	Rep1
1.858677686	Full	Abiotic	pH8.2	Rep1
1.56807438	Full	Abiotic	pH8.2	Rep1
1.683396694	Full	Abiotic	pH8.2	Rep1
2.405471074	Full	Abiotic	pH8.2	Rep1
2.672396694	Full	Abiotic	pH8.2	Rep1
2.596512397	Full	Abiotic	pH8.2	Rep1
2.133446281	Full	Abiotic	pH8.2	Rep1
1.877107438	Full	Abiotic	pH8.2	Rep1
2.424123967	Full	Abiotic	pH8.2	Rep1
1.902768595	Full	Abiotic	pH8.2	Rep1
2.199338843	Full	Abiotic	pH8.2	Rep1
1.919132231	Full	Abiotic	pH8.2	Rep1
1.506404959	Full	Abiotic	pH8.2	Rep1
4.881520661	Full	Abiotic	MS	Rep1
6.139975207	Full	Abiotic	MS	Rep1
2.780512397	DOV	Abiotic	Control	Rep1
3.195652893	DOV	Abiotic	Control	Rep1
3.195272727	DOV	Abiotic	Control	Rep1
3.35077686	DOV	Abiotic	Control	Rep1
2.727272727	DOV	Abiotic	Control	Rep1
3.23285124	DOV	Abiotic	Control	Rep1
3.745115702	DOV	Abiotic	Control	Rep1
2.363710744	DOV	Abiotic	Control	Rep1
2.202710744	DOV	Abiotic	Control	Rep1
1.430727273	DOV	Abiotic	Control	Rep1
2.330578512	DOV	Abiotic	Control	Rep1
1.820752066	DOV	Abiotic	Control	Rep1
4.543958678	DOV	Abiotic	Control	Rep1
3.82814876	DOV	Abiotic	Control	Rep1
2.666876033	DOV	Abiotic	Control	Rep1
2.567471074	DOV	Abiotic	Control	Rep1
2.188066116	DOV	Abiotic	Control	Rep1
2.632413223	DOV	Abiotic	-P	Rep1
3.306446281	DOV	Abiotic	-P	Rep1
3.312760331	DOV	Abiotic	-P	Rep1
2.083694215	DOV	Abiotic	-P	Rep1
1.65322314	DOV	Abiotic	-P	Rep1
3.559553719	DOV	Abiotic	-P	Rep1
3.25785124	DOV	Abiotic	-P	Rep1
2.996	DOV	Abiotic	-P	Rep1
3.315735537	DOV	Abiotic	-P	Rep1
3.927231405	DOV	Abiotic	-P	Rep1
4.345917355	DOV	Abiotic	-P	Rep1
3.611677686	DOV	Abiotic	-P	Rep1
4.79	DOV	Abiotic	-P	Rep1
4.330049587	DOV	Abiotic	-P	Rep1
4.567438017	DOV	Abiotic	-P	Rep1
1.239917355	DOV	Abiotic	Na	Rep1
