Time	Media	Strain	OD600	Auxin
0	M9 succinate	none	0.080600000917912	0.000192425665194333
0	M9 succinate	none	0.079099997878075	9.49647275710097e-05
0	M9 succinate	none	0.081699997186661	0.000138816983492816
0	M9 succinate	CL14	0.110399998724461	0.000348496010048333
0	M9 succinate	CL14	0.113899998366833	0.00114727907277033
0	M9 succinate	CL14	0.114100001752377	0.000536466740155667
0	M9 succinate + IAA	none	0.082000002264977	0.0660448329141753
0	M9 succinate + IAA	none	0.083200000226498	0.0679409140500503
0	M9 succinate + IAA	none	0.08219999819994	0.0669025936194893
0	M9 succinate + IAA	CL14	0.107799999415874	0.0641879506105143
0	M9 succinate + IAA	CL14	0.11150000244379	0.062160008571171
0	M9 succinate + IAA	CL14	0.112199999392033	0.0661054261564627
0	M9 IAA	none	0.083400003612042	0.0709227667033643
0	M9 IAA	none	0.080600000917912	0.0712020412864383
0	M9 IAA	none	0.08049999922514	0.0669930919349083
0	M9 IAA	CL14	0.110799998044968	0.064444654650256
0	M9 IAA	CL14	0.108300000429153	0.0643958113726577
0	M9 IAA	CL14	0.105599999427795	0.064309705378894
6.55	M9 succinate	none	0.079899996519089	0.000192419678520333
6.55	M9 succinate	none	0.079800002276898	0.000363255533833667
6.55	M9 succinate	none	0.08160000294447	0.000363220674409
6.55	M9 succinate	CL14	0.164499998092651	0.000763800731226333
6.55	M9 succinate	CL14	0.166999995708466	0.000837201182061
6.55	M9 succinate	CL14	0.16779999434948	0.000873965333577
6.55	M9 succinate + IAA	none	0.082500003278256	0.0637792591996423
6.55	M9 succinate + IAA	none	0.081699997186661	0.066362276557495
6.55	M9 succinate + IAA	none	0.080899998545647	0.062750925095258
6.55	M9 succinate + IAA	CL14	0.167999997735024	0.05691329157505
6.55	M9 succinate + IAA	CL14	0.164100006222725	0.057488608685692
6.55	M9 succinate + IAA	CL14	0.163399994373322	0.05743285107858
6.55	M9 IAA	none	0.081799998879433	0.0636923506530157
6.55	M9 IAA	none	0.08669999986887	0.068143513951018
6.55	M9 IAA	none	0.080099999904633	0.0710213812724863
6.55	M9 IAA	CL14	0.123800002038479	0.0597538635773203
6.55	M9 IAA	CL14	0.123099997639656	0.057356734549434
6.55	M9 IAA	CL14	0.121100001037121	0.0598314637188727
17.03	M9 succinate	none	0.081500001251698	0.000185109016828667
17.03	M9 succinate	none	0.080600000917912	0.000187548269662
17.03	M9 succinate	none	0.080899998545647	0.000138813960670667
17.03	M9 succinate	CL14	0.620400011539459	0.000866648447587
17.03	M9 succinate	CL14	0.655600011348724	0.000839692859476
17.03	M9 succinate	CL14	0.606299996376038	0.000758906342842667
17.03	M9 succinate + IAA	none	0.081000000238419	0.0619956913029777
17.03	M9 succinate + IAA	none	0.08219999819994	0.066463085139117
17.03	M9 succinate + IAA	none	0.080600000917912	0.0654570132168083
17.03	M9 succinate + IAA	CL14	0.491499990224838	0.047610788404376
17.03	M9 succinate + IAA	CL14	0.544399976730347	0.04560367012697
17.03	M9 succinate + IAA	CL14	0.567600011825562	0.0462579059944623
17.03	M9 IAA	none	0.10639999806881	0.0671411782592673
17.03	M9 IAA	none	0.101199999451637	0.0691167153133857
17.03	M9 IAA	none	0.076600000262261	0.069993125513059
17.03	M9 IAA	CL14	0.219300001859665	0.00142337906019733
17.03	M9 IAA	CL14	0.252799987792969	0.00131277420806933
17.03	M9 IAA	CL14	0.206499993801117	0.001062630409072
19.23	M9 succinate	none	0.079999998211861	0.000168062524577802
