Group #	Tissue	Expression Level	Standard Deviation	Samples	Links
1	Silique 8	0.08	0.06	SRR3581717,SRR3581883,	To the Experiment
1	Stigmatic tissue	0.0	0.01	SRR3581728,SRR3581890,	To the Experiment
1	Pod of the senescent silique 1	0.12	0.03	SRR3581736,SRR3581897,	To the Experiment
1	Anthers of the young flower	0.0	0.0	SRR3581691,SRR3581857,	To the Experiment
1	Dry Seeds	0.15	0.02	SRR3581731,SRR3581892,	To the Experiment
1	Silique 2	0.0	0.0	SRR3581708,SRR3581874,	To the Experiment
1	Silique 4	0.0	0.01	SRR3581711,SRR3581877,	To the Experiment
1	Silique 6	0.0	0.0	SRR3581714,SRR3581880,	To the Experiment
1	Young seeds 3	0.0	0.0	SRR3581721,SRR3581886,	To the Experiment
1	Young seeds 2	0.07	0.01	SRR3581720,SRR3581885,	To the Experiment
1	Young seeds 1	0.0	0.0	SRR3581719,SRR3581884,	To the Experiment
1	Leaf Lamina of the mature leaf	0.09	0.09	SRR3581680,SRR3581846,	To the Experiment
1	Flowers 15-18	0.0	0.0	SRR3581701,SRR3581867,	To the Experiment
1	Young seeds 5	0.0	0.0	SRR3581726,SRR3581888,	To the Experiment
1	Young seeds 4	0.0	0.0	SRR3581724,SRR3581887,	To the Experiment
1	Seeds 7	0.0	0.0	SRR3581715,SRR3581881,	To the Experiment
1	Germinating seeds 2	37.51	1.7	SRR3581733,SRR3581894,	To the Experiment
1	Leaf Vein of the senescent leaf	0.28	0.12	SRR3581683,SRR3581849,	To the Experiment
1	Carpel of the 6th and 7th flowers	0.0	0.01	SRR3581730,SRR3581891,	To the Experiment
1	Ovules from the 6th and 7th flowers	0.05	0.02	SRR3581727,SRR3581889,	To the Experiment
1	Flower 5	0.0	0.03	SRR3581697,SRR3581863,	To the Experiment
1	Internode	1.21	0.3	SRR3581705,SRR3581871,	To the Experiment
1	Leaf Petiole, intermediate 1	0.0	0.01	SRR3581499,SRR3581839,	To the Experiment
1	Root Apex	96.74	25.58	SRR3581352,SRR3581835,	To the Experiment
1	Leaf Petiole, intermediate 2	0.0	0.0	SRR3581639,SRR3581841,	To the Experiment
1	Seeds from the senescent silique 1	0.17	0.05	SRR3581735,SRR3581896,	To the Experiment
1	Flower 4	0.0	0.0	SRR3581696,SRR3581862,	To the Experiment
1	Flower 1	0.0	0.02	SRR3581693,SRR3581859,	To the Experiment
1	Leaf Vein, intermediate 2	0.0	0.01	SRR3581672,SRR3581842,	To the Experiment
1	Flower 3	0.0	0.0	SRR3581695,SRR3581861,	To the Experiment
1	Flower 2	0.0	0.0	SRR3581694,SRR3581860,	To the Experiment
1	Flowers 9-11	0.0	0.02	SRR3581699,SRR3581865,	To the Experiment
1	Leaf Vein of the mature leaf	0.0	0.01	SRR3581679,SRR3581845,	To the Experiment
1	Leaf Petiole of the senescent leaf	0.16	0.07	SRR3581682,SRR3581848,	To the Experiment
1	Leaf Petiole of the mature leaf	0.0	0.0	SRR3581678,SRR3581844,	To the Experiment
1	Seedling Root	165.3	17.0	SRR3581347,SRR3581834,	To the Experiment
1	Germinating seeds 3	189.12	10.47	SRR3581734,SRR3581895,	To the Experiment
1	Carpels of the young flower	0.0	0.0	SRR3581690,SRR3581856,	To the Experiment
1	Germinating seeds 1	0.0	0.0	SRR3581732,SRR3581893,	To the Experiment
1	Pod of the silique 5	0.0	0.0	SRR3581713,SRR3581879,	To the Experiment
1	Pod of the silique 7	0.11	0.02	SRR3581716,SRR3581882,	To the Experiment
1	Pod of the silique 1	0.0	0.03	SRR3581707,SRR3581873,	To the Experiment
1	Senescent internode	0.08	0.08	SRR3581738,SRR3581899,	To the Experiment
1	Pod of the silique 3	0.0	0.0	SRR3581710,SRR3581876,	To the Experiment
1	Seeds 1	0.13	0.01	SRR3581706,SRR3581872,	To the Experiment
1	Seeds 3	0.0	0.0	SRR3581709,SRR3581875,	To the Experiment
1	Seeds 5	0.0	0.0	SRR3581712,SRR3581878,	To the Experiment
