taxon_oid	Genome Name	Phylum	Class	Order	Family	Genus
2643221916	Burkholderia sp. Leaf177	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
2738541298	Paraburkholderia sp. GV068	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia
2734482178	Variovorax sp. YR752	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2711768633	Burkholderia sp. CF099	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
2738543013	Variovorax sp. BT01	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2609459724	Variovorax sp. OK605	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2582581311	Burkholderia sp. WP42	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
2643221672	Variovorax sp. Root434	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2517572245	Variovorax paradoxus 4MFCol3.1	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2603880186	Variovorax sp. 770b2	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2643221652	Acidovorax sp. Root402	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax
2711768632	Burkholderia sp. OK233	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
2687453794	Burkholderia sp. WP9	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
2690315617	Variovorax sp. YR634	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2627853871	Variovorax paradoxus MEDvA23	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2546825545	Burkholderia MF384	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
2615840602	Cupriavidus sp. OV096	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus
2738541296	Paraburkholderia sp. GV073	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia
2546825544	Burkholderia MF376	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
2687453686	Variovorax sp. YR750	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2643221792	Acidovorax sp. Leaf84	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax
2738541307	Variovorax sp. GV008	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2615840639	Burkholderia vietnamiensis WPB	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
2706794494	Variovorax paradoxus H061	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2512047091	Variovorax sp. HW608	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2643221485	Variovorax sp. 160MFSha2.1	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2687453687	Variovorax sp. OV084	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2757320526	Variovorax sp. GV004	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2731957647	Variovorax boronicumulans NBRC 103145	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2757320434	Ralstonia sp. GV074	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia
2802429317	Variovorax boronicumulans J1	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2639762659	Ralstonia sp. 25MFCol4.1	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia
2731957648	Variovorax paradoxus NBRC 15149	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2643221717	Acidovorax sp. Root267	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax
2687453681	Variovorax sp. PDC80	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2643221495	Variovorax paradoxus 295MFChir4.1	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2799112225	Variovorax sp. BK151	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2757320428	Paraburkholderia sp. OV446	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia
2757320433	Variovorax sp. GV014	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
2738541306	Paraburkholderia sp. GV052	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia
