Sample_Id	Sample_Label	Plate	Position	Syncom	Condition	Experiment
CMB001	CombiR1_001	1	A01	A	control	CombiR1
CMB002	CombiR1_002	1	B01	A	control	CombiR1
CMB003	CombiR1_003	1	C01	A	control	CombiR1
CMB004	CombiR1_004	1	D01	A	control	CombiR1
CMB005	CombiR1_005	1	E01	A	control	CombiR1
CMB006	CombiR1_006	1	F01	B	control	CombiR1
CMB007	CombiR1_007	1	G01	B	control	CombiR1
CMB008	CombiR1_008	1	H01	B	control	CombiR1
CMB009	CombiR1_009	1	A02	B	control	CombiR1
CMB010	CombiR1_010	1	B02	B	control	CombiR1
CMB011	CombiR1_011	1	C02	C	control	CombiR1
CMB012	CombiR1_012	1	D02	C	control	CombiR1
CMB013	CombiR1_013	1	E02	C	control	CombiR1
CMB014	CombiR1_014	1	F02	C	control	CombiR1
CMB015	CombiR1_015	1	G02	C	control	CombiR1
CMB016	CombiR1_016	1	H02	D	control	CombiR1
CMB017	CombiR1_017	1	A03	D	control	CombiR1
CMB018	CombiR1_018	1	B03	D	control	CombiR1
CMB019	CombiR1_019	1	C03	D	control	CombiR1
CMB020	CombiR1_020	1	D03	D	control	CombiR1
CMB021	CombiR1_021	1	E03	AB	control	CombiR1
CMB022	CombiR1_022	1	F03	AB	control	CombiR1
CMB023	CombiR1_023	1	G03	AB	control	CombiR1
CMB024	CombiR1_024	1	H03	AB	control	CombiR1
CMB025	CombiR1_025	1	A04	AB	control	CombiR1
CMB026	CombiR1_026	1	B04	AC	control	CombiR1
CMB027	CombiR1_027	1	C04	AC	control	CombiR1
CMB028	CombiR1_028	1	D04	AC	control	CombiR1
CMB029	CombiR1_029	1	E04	AC	control	CombiR1
CMB030	CombiR1_030	1	F04	AC	control	CombiR1
CMB031	CombiR1_031	1	G04	AD	control	CombiR1
CMB032	CombiR1_032	1	H04	AD	control	CombiR1
CMB033	CombiR1_033	1	A05	AD	control	CombiR1
CMB034	CombiR1_034	1	B05	AD	control	CombiR1
CMB035	CombiR1_035	1	C05	AD	control	CombiR1
CMB036	CombiR1_036	1	D05	BC	control	CombiR1
CMB037	CombiR1_037	1	E05	BC	control	CombiR1
CMB038	CombiR1_038	1	F05	BC	control	CombiR1
CMB039	CombiR1_039	1	G05	BC	control	CombiR1
CMB040	CombiR1_040	1	H05	BC	control	CombiR1
CMB041	CombiR1_041	1	A06	BD	control	CombiR1
CMB042	CombiR1_042	1	B06	BD	control	CombiR1
CMB043	CombiR1_043	1	C06	BD	control	CombiR1
CMB044	CombiR1_044	1	D06	BD	control	CombiR1
CMB045	CombiR1_045	1	E06	BD	control	CombiR1
CMB046	CombiR1_046	1	F06	CD	control	CombiR1
CMB047	CombiR1_047	1	G06	CD	control	CombiR1
CMB048	CombiR1_048	1	H06	CD	control	CombiR1
CMB049	CombiR1_049	1	A07	CD	control	CombiR1
CMB050	CombiR1_050	1	B07	CD	control	CombiR1
CMB051	CombiR1_071	1	C07	Full	control	CombiR1
CMB052	CombiR1_072	1	D07	Full	control	CombiR1
CMB053	CombiR1_073	1	E07	Full	control	CombiR1
CMB054	CombiR1_074	1	F07	Full	control	CombiR1
CMB055	CombiR1_075	1	G07	Full	control	CombiR1
CMB056	CombiR1_076	1	H07	NB	control	CombiR1
CMB057	CombiR1_077	1	A08	NB	control	CombiR1
CMB058	CombiR1_078	1	B08	NB	control	CombiR1
CMB059	CombiR1_079	1	C08	NB	control	CombiR1
CMB060	CombiR1_080	1	D08	NB	control	CombiR1
CMB061	CombiR1_081	1	E08	R1	control	CombiR1
CMB062	CombiR1_082	1	F08	R1	control	CombiR1
CMB063	CombiR1_083	1	G08	R1	control	CombiR1
CMB064	CombiR1_084	1	H08	R1	control	CombiR1
CMB065	CombiR1_085	1	A09	R1	control	CombiR1
CMB066	CombiR1_086	1	B09	R2	control	CombiR1
