AGI code	Symbol	logFC	pVal	qVal
AT2G23170	GH3.3	4.55E+00	0.00E+00	0
AT4G37390	YDK1	3.82E+00	0.00E+00	0
AT3G58190	LBD29	3.10E+00	3.25E-107	6.373E-104
AT4G27260	WES1	2.64E+00	1.21E-207	8.685E-204
AT2G39370	MAKR4	2.63E+00	1.59E-78	2.444E-75
AT5G67430	AT5G67430	2.37E+00	6.76E-55	6.077E-52
AT4G32280	IAA29	2.31E+00	3.54E-62	4.024E-59
AT2G22810	ATACS4	2.16E+00	1.02E-49	7.862E-47
AT4G14560	IAA1	2.14E+00	8.64E-90	1.553E-86
AT5G06860	PGIP1	2.14E+00	9.89E-111	2.37E-107
AT3G15540	MSG2	2.14E+00	3.16E-54	2.722E-51
AT5G06865	AT5G06865	2.14E+00	4.17E-112	1.124E-108
AT2G14960	GH3.1	2.02E+00	6.71E-54	5.363E-51
AT1G62770	AT1G62770	1.96E+00	3.45E-70	4.381E-67
AT2G23060	AT2G23060	1.93E+00	2.06E-35	1.058E-32
AT3G23030	IAA2	1.86E+00	2.47E-127	8.868E-124
AT1G15580	IAA5	1.72E+00	1.31E-28	5.145E-26
AT5G55050	AT5G55050	1.67E+00	8.50E-59	8.732E-56
AT5G38200	AT5G38200	1.66E+00	2.35E-36	1.238E-33
AT3G10870	MES17	1.59E+00	3.82E-41	2.227E-38
AT1G17060	SOB7	1.52E+00	3.55E-48	2.552E-45
AT2G45420	LBD18	1.52E+00	1.40E-22	4.149E-20
AT5G62280	AT5G62280	1.49E+00	5.59E-54	4.636E-51
AT5G47370	HAT2	1.45E+00	9.37E-41	5.318E-38
AT2G47130	SDR3	1.44E+00	1.08E-29	4.304E-27
AT5G54510	GH3.6	1.44E+00	5.74E-72	7.743E-69
AT4G16515	RGF6	1.41E+00	6.04E-34	2.77E-31
AT1G52190	NRT1.11	1.41E+00	1.41E-75	2.032E-72
AT3G14362	RTFL10	1.38E+00	7.32E-20	1.858E-17
AT2G19990	PR-1-LIKE	1.36E+00	2.79E-21	7.919E-19
AT1G20190	EXPA11	1.35E+00	2.11E-32	8.573E-30
AT5G54490	PBP1	1.34E+00	1.00E-18	2.326E-16
AT4G26050	PIRL8	1.33E+00	7.03E-18	1.473E-15
AT5G02760	APD7	1.31E+00	6.58E-61	7.095E-58
AT3G07390	AIR12	1.31E+00	2.31E-56	2.167E-53
AT3G51410	AT3G51410	1.29E+00	7.84E-17	1.498E-14
AT4G37850	AT4G37850	1.25E+00	4.36E-19	1.044E-16
AT4G08040	ACS11	1.25E+00	8.39E-16	1.484E-13
AT2G28690	AT2G28690	1.24E+00	1.11E-22	3.362E-20
AT3G23050	IAA7	1.24E+00	7.47E-63	8.954E-60
AT3G15340	PPI2	1.23E+00	1.62E-17	3.205E-15
AT1G09350	GolS3	1.19E+00	1.82E-16	3.383E-14
AT4G37295	AT4G37295	1.17E+00	3.53E-14	5.256E-12
AT2G20080	TIE2	1.16E+00	2.65E-14	4.022E-12
